,cause,effect,explanation,Cause:Effect,Cause+Truth:Effect,Cause:Truth+Effect,CEQ
623,The house was on fire and the people needed water to put it out.,People came to the bay.,Bays have water.,0.026452694425542895,0.03035849754421896,0.018629034446091194,0.003905803118676065
624,He was confused when he faced options.,He was confused about which career path to choose.,Choices are the choices a person has to take in their life as a result of the choices they have made.,0.018541886415069805,0.026930795997854043,0.02097197772607165,0.008388909582784237
625,Tom is a petrologist.,Tom studies rocks as his analysis.,Rocks are made of rock.,0.0002937996845847763,0.006132763833970575,0.0011591557093308022,0.005838964149385799
626,I have difficulty checking all the machines.,I turn to the technology of my colleges.,Courses use software.,0.006360743603063547,0.011023391755166987,0.005640005130763264,0.004662648152103439
627,The weather is hot throughout this year.,Beets dosen't grow well.,Beets are sensitive to heat.,0.006796539558743672,0.008268375072396363,0.006169628587924209,0.001471835513652691
628,The doctor diagnosed the spread of virus particles in the patient.,The doctor found that there were on all epithelial surfaces.,Viruses can spread from epithelial to non-epithelial surfaces through the epithelial surface.,0.028185519481342253,0.017160219538694097,0.0478771907910418,0.019691671309699548
629,The content of methanol in the new house overwhelmed the body's capacity.,The worker was poisoned.,Methanol is toxic to the body.,0.020153989449079136,0.023605773489197544,0.027009208636654763,0.006855219187575628
630,He explored the metal coating of halogen lamps.,He found some dysprosium.,Dysprosion is a metal-based coating used in the manufacture of light-emitting diod.,0.001914342994407343,0.0013978106744945485,0.021363413817352954,0.01944907082294561
631,Tony wanted to buy some food.,He bought one hamburger in a McDonald's store.,Hamburgers are made of beef jerky.,0.03889475377332605,0.11967762207231648,0.06334816458979446,0.08078286829899042
632,He grew up and became a well-known jeweler.,He created a lot of fine jewelry.,Jewelry is the art of making fine art jewellery.,0.18634768991307643,0.15470051505790924,0.24557254474084636,0.05922485482776993
633,Those men are hikers.,They have a strong desire to drink water.,Hikers drink water because they want to stay hydrated.,0.0016077154868463478,0.044116691162614005,0.0014491883596787806,0.042508975675767655
634,Air pressure should be measured.,Barometers are needed.,Barometers measure the amount of pressure applied to a piece of metal.,0.0709781284341251,0.050894334673201404,0.049318846724033936,-0.020083793760923695
635,A group of thiefs were caught.,They handed in the stolen things.,Lies lead to theft.,0.03706000335274768,0.06410422879562068,0.03180905425975654,0.027044225442873
636,He composted the soil.,The pH of the soil gradually balances out.,Pb is a measure of the amount of carbon dioxide in the atmosphere as a result of respiration.,0.06959165983311959,0.04568309983831475,0.04992963587388727,-0.01966202395923232
637,My grasshopper did not drink the water I prepared.,"It is normal, what it eats have enough water.",Grasses are a natural part of the diet of many plants.,0.024417178972145955,0.03394484627444966,0.024767968418525074,0.009527667302303703
638,The machine has some functions similar to the human minds.,It can identify some obvious patterns.,Neuropsychology is the study of the neural mechanisms involved in the processing of mind-body interaction.,0.011745951956538346,0.017603817653652844,0.034498266582404104,0.022752314625865758
639,Tom squeezed all the fuel with the machine.,The fuel compression was done.,Fuel is used to compress the air in the combustion chamber.,0.014585111753539689,0.061497926455206665,0.04837697301182403,0.04691281470166698
640,John observes the way animals breathe.,He saw the diaphragm contract as the rabbit inhaled.,Diaphragms contract when the air is squeezed out of the lungs.,0.09765025677913944,0.13791107523691123,0.0975829228086012,0.040260818457771796
641,I bred this tiny dog as my pet.,My family called it toy.,Toys are small dogs with small heads.,0.03711723575769755,0.032758684890160636,0.04765463199487772,0.010537396237180169
642,The frogfish rushed to its prey.,The prey got into its mouth.,Frogs swallow their prey by sucking their prey out of their mouth.,0.00677111766698902,0.027950442334066704,0.007087705667655249,0.021179324667077684
643,Tom stepped in narrow deep cracks in the glacier.,His friend yelled tom stepped in Crevasses.,Crevasses are a type of deep-dwelling glacier.,0.2223972467492375,0.1641309342507929,0.31636669700419945,0.09396945025496195
644,The list shows that you used much water last month.,I cleaned my whole house in and out during last month.,Water is used to clean the entire home.,0.02172127519814297,0.035415262367332376,0.02790861203276725,0.013693987169189407
645,This special organization is in charge of tracking.,It manages occurrence of data.,Occurrence is the measurement of the number of occurrences of a particular type of event in a given time period.,0.026794381801467038,0.03349381154828911,0.022117335623337727,0.006699429746822069
646,Synthetic resin smells toxic when burned.,Tom's clothes made of polyester smell poisonous when burned.,Polyester is a synthetic resin used in the manufacture of clothing.,0.10319534586102379,0.09937106511023305,0.12285091399899412,0.019655568137970328
647,There are many sparrows in the orchard.,Many insects are eaten by them.,Sparrows eat a wide variety of insects including aphids.,0.02546231474312534,0.02336763595184293,0.039913419439999064,0.014451104696873725
648,He was bit by wasps.,He felt very painful.,Wasps can be very painful to the skin.,0.008949658900727409,0.016778634815442794,0.035001277369270715,0.026051618468543307
649,My baby became a teenager.,The baby bike could not bear his weight.,Bikes have wheels.,0.007382447125366491,0.003955298811445848,0.006420450993271068,-0.0009619961320954228
650,I had a budgie.,I found its interest.,Budgies have an interest in food.,0.00029509971930656364,0.0037646157508962478,0.00037350587820197435,0.003469516031589684
651,Tom is an engineer.,He studies different kinds of structures.,Engineers study structures.,0.004212501445313403,0.0070662309598961345,0.004472484801650949,0.0028537295145827316
652,The clocks are moving all the time.,They are like living creatures.,Time is a measure of the relative motion of the body in relation to the clock.,0.01529784678925742,0.012823926585261245,0.018892149733095897,0.0035943029438384767
653,The gardener was hired to take care of my poinsettias.,He prevented it from harm of mealybugs with great efforts.,Poinsettia is one of the most common types of amoeba.,0.019704593906694726,0.025050910635734117,0.017861955664493657,0.005346316729039392
654,Tom searched the Internet for the nature of loudness of an instrument.,It turned out to be dynamics.,Dynamics is the measurement of the amount of energy in a sound at a given moment.,0.0180897264215142,0.01957938929313352,0.03263457146123088,0.014544845039716682
655,It is important for people to know important events of the country every day.,The editor has left a special page for national news.,National news is the publication of news from around the world.,0.06637577170707831,0.06499118925270937,0.08947984222424399,0.023104070517165676
656,Tom was infected with pneumonia.,Tom's family was worried about him.,Pneumonia is a common cause of death in people who are infected with the pneumococcal virus.,0.009474859838081053,0.01900004824699638,0.20682214107323332,0.19734728123515227
657,Tom has just had a wine.,Tom fails the blood test.,Viscosity is the measurement of the amount of alcohol in the blood.,0.004460440758712141,0.011997578788137201,0.050409705921743965,0.04594926516303183
658,They climbed up to the peak of the hill.,They felt the climate much colder than that at the foot of the hill.,Snowfall is the result of a change in the temperature of the ground over time.,0.009182385857029504,0.025458744815279332,0.012083936197918215,0.016276358958249828
659,Color in a relatively permanent skin layer like the dermis would not fade soon.,Tattoos can keep its color for a long time.,Tattoos are permanent layers of epidermis on the skin.,0.028270688348665002,0.025616075075342137,0.023919859185728868,-0.0026546132733228645
660,Kate is suffering from thermal hyperalgesia.,Kate's doctor prescribed a drug containing zinc.,Zinc helps to block the effects of heat loss in the body.,0.019792853614873592,0.033035330910527204,0.030051757371142695,0.013242477295653612
661,Some of the leaves on Tom's potted plants are getting old and dying.,There are mildew spots on some leaves.,Pests can also be a problem in some plants.,0.02091208547344261,0.02123232830375329,0.024490456468147823,0.003578370994705215
662,Tom wants to draw a digital image.,Tom draws graphics by drawing pixels.,Pixels are a type of graphic unit used to represent the number of points in a graphic image.,0.09289398092956118,0.0763860463165349,0.08903376609643111,-0.0038602148331300656
663,She is a witch.,She can heal small animals.,Witches are healers.,0.004619313702995519,0.052000369305160964,0.0038037986493091804,0.04738105560216545
664,Kur is using a microscope to observe the growth of pollen tubes from the surface of pollen grains.,Kur named it germination.,Germination is the process of producing a single pollen tube from the top of the petal-like flower.,0.07792105856034816,0.07623354162010462,0.10488471403913417,0.026963655478786014
665,Lucy has suffered form infertility.,Lucy didn't deliver a live baby.,Infertility is caused by the body's inability to produce enough sperm to fertilize the egg.,0.01478671027073266,0.021630942591500873,0.11885907690276243,0.10407236663202976
666,There was a light rain in the polluted city.,The visibility was lower.,Rain is a sign of pollution.,0.020227635354330507,0.020428525273454734,0.022364418167623773,0.0021367828132932663
667,The building is of low visibility in fog.,It can only be seen to a low degree.,Overexposure is defined as the amount of time a person is exposed to a certain amount of light at.,0.007314023679349887,0.014756704155786138,0.024044841816088163,0.016730818136738275
668,These adolescent boys haven't had any relationships yet.,Masturbation occurs frequently.,Masturbation is the most common cause of sexual dysfunction in young men.,0.024154850598017016,0.07874439422567624,0.03813907194704657,0.05458954362765922
669,Tom wants to collect fructose.,Tom chooses kiwi to collect fructose.,Kiwi is a member of the sugar family.,0.0004710601279775389,0.10511072725801782,0.0431515265576301,0.10463966713004028
670,Tom wants to take photos of kinglets.,Tom goes to evergreen forest to find the bird.,Kingfinches are one of the most common birds in evergreen forests.,0.07015840704984427,0.05373405749671149,0.04327689101550922,-0.01642434955313278
671,Bob told his mother that the bird was masticating happily.,Mother pointed out Bob's mistake and said that birds can't masticate.,Masticating is the act of mating without the help of their mothers.,0.01805373864912185,0.01753394267962666,0.014279525486662167,-0.000519795969495189
672,He wants to control noise.,He uses slits as devices.,Slits are a type of electronic device used to control the volume of sound in a room.,0.012348939725733851,0.013721312101764091,0.02038058677763053,0.008031647051896677
673,Peter had a serious illness when he was a baby.,His mental development is slower than that of his peers.,Childhood is a time when children are most at risk of developing mental retardation.,0.016641591592494426,0.028436230238557913,0.04656856709939451,0.029926975506900086
674,The man invented speech resynthesis.,Its is possible for text-to-speech process in different languages.,Resynthesis is the process of converting text to sound by a process known as speech synthesis.,0.01350180825432981,0.03198647360217897,0.016115875445782357,0.018484665347849157
675,The magazine has pictures of naked girls.,The magezing is classified as pornographic magazine.,Magezing is the sexual arousal of a group of people who are sexually aroused by a sexual object.,0.014071148571954113,0.03642109393938965,0.018612498877452446,0.022349945367435536
676,Ability of chemically interacting with many other substances indicates chemical instability.,Phenols has chemical instability.,Phenols are one of the most widely used substances in the chemistry of the human body.,0.06257117621148664,0.061713466324947445,0.06179695549591982,-0.0007742207155668202
677,The explorer wore crampons in climbing the snow mountain.,The spike-soled boots helped him in climbing.,Crampons are a type of climbing boot with a spike-like foot on the soles.,0.09898664112180719,0.05455493544294998,0.4001585515555189,0.3011719104337117
678,Mary has to settle all the problems in these three modules.,She tries different principles and solves them respectively.,Modules include principles.,0.016064083369209423,0.014333532734528026,0.017927783135799423,0.0018636997665899997
679,His major is kinesiology.,He is very knowledgeable about movement.,Kinesiology is the study of movement.,0.005222041495265778,0.009038154529652263,0.013362472660548937,0.008140431165283159
680,The multiplet volume increases rapidly.,The occurrence of flocculation had an obvious influence.,Flocculation is the rapid increase in the occurrence of aflatoxin in response to aflatoxins.,0.0010848672118505902,0.02109169777810166,0.005347514321954215,0.02000683056625107
681,He bought some equipment.,He got some cloak devices.,Caretakers have cloaks.,0.006919466198459725,0.0021014092356521695,0.006205159150684112,-0.0007143070477756133
682,This kingdom is rich in wines.,Their  vines and bounty are envied by other kingdoms.,Wine is the food of the kingdom.,0.10161663800155718,0.017100434011898293,0.0791460924227296,-0.022470545578827578
683,The restaurant sells Smoothies.,They orders fresh fruit from fruit stores.,Smoothies are a fast-food staple.,0.10527438085107253,0.015572122560450073,0.07723694086617869,-0.028037439984893844
684,Tom has listed a wrong equation.,The whole problem solving process was wrong.,Equations are the process of making sense of problems in the context of a problem-solving process.,0.03863917211188417,0.04026698942444908,0.030604738916838053,0.001627817312564915
685,Scientists cut off the lateral roots of ragweed.,Ragweed is still vigorous.,Ragweed is one of the few plants to grow in a well-drained environment.,0.01644343542821242,0.014044699356053831,0.010124861821052452,-0.0023987360721585884
686,Lake wants to work out full hard glute.,Lake's fitness instructor asked him to practice lunge.,Lunge is the movement of the glutes in the deadlift.,0.029635942071583144,0.02113813727173982,0.030284381601242517,0.0006484395296593726
687,Som oil was added to the carrier oil.,The carrier oil was diluted.,Dilution is the process of adding a substance to a carrier oil to make it less toxic.,0.025733687338158957,0.03031498524017877,0.030380745834701996,0.004647058496543038
688,The Adhesives were exposed to oxygen.,They hardened.,Adhesives are sensitive to the presence of oxygen in the air.,0.01965097096465246,0.011065706235527592,0.020881125282190948,0.0012301543175384892
689,Tom lost his legs before many years when he happened to a car accident.,He can't walk.,Deafness is a common cause of death in children with hearing loss.,0.011664585697926777,0.010481721213029288,0.031275643254609777,0.019611057556683
690,A boy slipped on the ice.,The boy followed him slipped too.,Ice is a dangerous substance.,0.010663400835714772,0.01434315807449837,0.049610197307341126,0.038946796471626355
691,Tom is going to buy a bicycle.,He is also equipped with a helmet for safety.,Cyclists wear helmets.,0.042494191856735586,0.030829978011702914,0.13253339867325645,0.09003920681652086
692,This tree has great viability.,It has great potential to germinate.,Germination is the process of germinating a plant from seed into full-grown adult human form.,0.08508895180386084,0.18088622607815416,0.09433423551688358,0.09579727427429333
693,Tom has some biluminescenes in the sea.,He found that there were some dinoflagellates.,Dinoflamellates are among the most abundant of all the lanthanides.,0.036890117976454195,0.0022592513211642947,0.02558904746814421,-0.011301070508309984
694,There was a swan in the office.,The official got the beautiful feather.,Swans are very sensitive to light.,0.011096691844413144,0.026789257217078026,0.010304301859475833,0.015692565372664884
695,It had been fifteen years since the aardwolf was born.,It died before long.,Aardwolves are one of the most misunderstood animals on the planet.,0.00415737129652005,0.007934696499044514,0.0068611804300583385,0.003777325202524464
696,There is something wrong with the patient's valve.,The doctor found that his valve did not close when the heart contracted.,Vasals close when a heart contractures.,0.02382392872916697,0.033790551997921504,0.027384305445532522,0.009966623268754533
697,Jerry is allergic to lactose.,He may eat most unusual foods by mistake.,Lactose is a common cause of anaphylactic shock in people who are allergic to certain foods.,0.03117927363646877,0.06594885697141374,0.05334897330925676,0.03476958333494497
698,A pterosaur was running in the forest.,No one can run more fast than it.,Pterosaurs are the fastest animals on the planet at about twice the speed of their closest living relatives.,0.008711414207280348,0.01721462607280283,0.010007279067953219,0.008503211865522482
699,Tom was diagnosed with asexuality.,His wife has no sexual desire on him.,Asexuality is a condition in which the body is unable to produce enough of the sex-reassignment.,0.024539349047392616,0.017352722144455903,0.016511610697792414,-0.007186626902936713
700,The boys were trained with patterns.,They developed fixed habits.,Patterns are patterns of repeated patterns of action followed by repeated actions.,0.004681080558911991,0.00825375537899558,0.007251429870754343,0.0035726748200835884
701,The orphan Lucy was sad when she saw a happy family.,The leader of the orphanage decided to find a kind person for her to adopt her.,Adoption is the process of finding a new family member who is a good fit with the circumstances of their situation.,0.10108125651061631,0.08514187452587385,0.0853989357615922,-0.015682320749024106
702,Lucy's trainer is both a teacher and friend.,She extremely likes her trainer.,Teachers love teachers.,0.004621429666244963,0.007127427110805566,0.02769508076354959,0.023073651097304627
703,Tom was lying in the bed and reading a book.,He fell asleep in a few minutes.,He woke up at about noon.,0.03672701523542719,0.06991222010724653,0.03944363350746013,0.033185204871819335
704,Developer Edward was asked to optimize the design.,He hence did unit tests.,Unit tests are the process of conducting unit tests on a computer system.,0.007521061680197593,0.007922075930446559,0.02077660876330795,0.013255547083110358
705,Jack suffers from asthma.,Doctors diagnosed his son with asthma.,Asthma is a chronic disease caused by the body's immune system attacking the airways.,0.030563539182831535,0.11674100827195541,0.059378434241003156,0.08617746908912388
706,Tom put a magnet near some coins. .,The coins were attracted together by the magnet. .,Magnetism is the attraction of two objects to one another by the magnetic field.,0.009782751881205953,0.009363229516515609,0.10492738560575661,0.09514463372455066
707,Too many activities have been hold in this city.,Some residents were injured during these activities.,Violence is a serious problem in our city.,0.017616289504191616,0.01711657989511641,0.02316711804076104,0.005550828536569425
708,The environment here is suitable for the family cercopithicidae.,There are many mangabeys living here.,Mangabeys live in a wide variety of habitats.,0.015522464018655757,0.017125550632728834,0.024076986484229755,0.008554522465573998
709,The acne bacteria was blocked under thick cloth.,The cloth was cut for oxygen to get in.,Acne is a bacterial infection of the skin caused by the acne bacteria called papules.,0.019567749786423623,0.03145625489798189,0.1593316072052488,0.1397638574188252
710,John put on his the reading glasses to see the ground.,John found a dent in the ground.,Dent is a type of earth-dwelling plant.,0.01467978878108493,0.01335735333534776,0.014296667523311117,-0.00038312125777381287
711,"In addition to the daily food, I also put aquatic insects into merganser's nest.",The next day I found that the aquatic insects had been eaten.,Merganseruses are omnivores.,0.020974969480216193,0.02085663073701761,0.01951025260141662,-0.00011833874319858162
712,A salesman visited her and recommend her some laundry detergents.,She was impressed with the salesman’ politeness.,Remediality is the ability to have a positive attitude toward one's fellow human beings.,0.010015202061993685,0.014216943320473822,0.012742925321737018,0.004201741258480137
713,Some parasites lay their eggs on cloves.,A few days later the eggs died.,Cloves are a natural food source of many parasitic protozoans.,0.0045519566993491925,0.010330647421592946,0.03653887046779727,0.031986913768448075
714,Tom picked up a whip.,He gave it back to the jockey.,Jockeys have sharp teeth.,0.008702306105216003,0.007782443546115825,0.009186969875059521,0.00048466376984351855
715,I heard bird songs from green leaves.,I began to look for the orioles hidden in it.,Orioles are one of the most common birds in the western United States.,0.18771501232483725,0.12484435314913511,0.22030567297046705,0.03259066064562979
716,The workers have prepared some silts.,They plan to utilise them to build walls.,Silts are made of silvery-white ceramic materials.,0.006145442984716695,0.01478742654626205,0.006006076165409682,0.008641983561545354
717,Lucy majors in ecology.,She studies the relations among different creatures.,Ecology is the study of the relationships among different species.,0.009647415494180215,0.012594566245886413,0.008585586230040975,0.002947150751706198
718,He put the cells in contact with the surface.,He found that adhesion had occurred.,Adhesion is the process of attaching a cell to the surface of an object.,0.07344861312582002,0.06978557119435823,0.08439887537329123,0.010950262247471212
719,A robin is hungry.,It flies to the ground for food.,Robins eat a wide variety of prey including insects such as aphids.,0.019391229372109298,0.024440936949861502,0.021852008852161906,0.005049707577752204
720,They decided to travel China this summer.,They first left Beijing and started from Shanghai.,Traveling is a way of life in the region.,0.203322701922556,0.13886957049958037,0.14037475252230586,-0.06294794940025014
721,He was honored as a hero because of his brave deed.,He was allowed three days of extra holiday and he returned his home.,Veterans receive special treatment.,0.012509261198030983,0.024537025123725822,0.02257697248901949,0.012027763925694839
722,Tom has a strong ability to survival.,He was the final winner of the game.,Survival is the ability to survive in the face of danger.,0.012015914523027693,0.01211899949467283,0.020816301720258126,0.008800387197230433
723,Jason and I saw a mammal passing along.,He told me there is a good chance that this mammal is an artiodactyl.,Artiodactylytes are the most common type of mammals to be found in the wild.,0.005312678208985012,0.016572669303458947,0.006072525424338667,0.011259991094473936
724,The scientists injected nitrite into child blood.,The scientists found that the oxygen carrying capacity of the child's blood declined.,Nitrites also reduce the amount of oxygen in the blood by inhibiting the flow of blood to the brain.,0.02933267184282623,0.06062518851811929,0.053013015993984815,0.03129251667529306
725,We saw something plunge-diving from the air.,The teacher explained it was a booby getting its food.,Boobies are very sensitive to gravity.,0.0040044628434041645,0.015946464735068017,0.006159799512522396,0.011942001891663853
726,A star crashes into the sun where nucleosynthesis occurs.,The star is burned and squeezed into ashes.,Nucleosynthesis is the process of burning the star to cool it down.,0.0363774554686374,0.028484397306352112,0.06968561323748342,0.03330815776884601
727,Lucy's mother took use of astragalus to make food for her.,Lucy becomes much healthier than before.,Astragalas help to keep the body from getting too full of fat.,0.014483658262284435,0.015717730340309342,0.02066933298985527,0.006185674727570834
728,Mineral-rich herb is good to human body.,He bought some chickweed to build his body.,Chickweed is a native to the western United States.,0.05233122917996182,0.01149425960664102,0.071558024468629,0.01922679528866717
729,The scientist applied some nitrogen fertilizer to the lawn.,The lawn has absorbed nitrogen fertilizer.,Nitrogen is used to make fertilizer.,0.25444044801615134,0.2704642305102728,0.26438925564274746,0.016023782494121452
730,Tom eats dairies every day.,He kept health.,Dairies help maintain a healthy body's ability to digest carbohydrates.,0.01757919912799078,0.02290027688618282,0.07896819818241241,0.06138899905442163
731,My major is anthropology.,I study people in different culture settings everyday.,Ethnography is the study of people from different cultures living in the same environment.,0.026781939543499472,0.04155237753175248,0.2609715270184157,0.23418958747491622
732,Frank eats nutritious food every day.,He is getting smarter and smarter than before.,Nutrition is the process of getting the most out of a person's daily life.,0.00011484077804627132,0.00018856572197721095,0.02585545204852846,0.02574061127048219
733,Mary found the extrusion of a mass through her vagina.,The diagnosis showed that this was prolapse.,Pallidum is a common cause of prolapse in women who have sex with men.,0.016550338462088324,0.03268797982715163,0.02567308787499562,0.016137641365063307
734,He likes making animations.,He enjoys the process of making still images appear alive through the action of motion.,Animation is the process by which a still image appears to have been made to appear alive.,0.016492479655300582,0.02361976382132759,0.014768507314280446,0.007127284166027009
735,Lucy recenly did a reserach about berkelium.,She found that there was somehting in common with actinide.,Actinide is a member of the beryllium family.,0.00037666357112424654,0.004153179009066814,0.0005909791343596977,0.0037765154379425674
736,There are several ocelots near Tom's farm.,Tom loses his sheep once a week.,Ocelots are a common cause of death in sheep farming.,0.014209186676817143,0.016209018440866228,0.017592251461499234,0.0033830647846820917
737,Metabolism indicates change of energy.,Trainers have changes of energy in their body.,Trainers use their bodies to make energy.,0.019701917180643923,0.01791136939143349,0.016355872883768934,-0.001790547789210433
738,Grace's father caught a babirusa.,Grace couldn't bite its meat at dinner.,Babruses eat their prey by sucking on the flesh of their prey.,0.015921818850443505,0.05429187659634694,0.01964957298244795,0.038370057745903435
739,The guest asks for a new plate.,The waitress walked to him.,Pasteurization is the process of removing food from a plate.,0.03320382128380495,0.03155253264971083,0.03463076397700378,0.0014269426931988252
740,Lina went into her bedroom carelessly.,She was tripped by the chair.,Stimuli cause a desire to urinate.,0.0058647008490142725,0.007699944510562753,0.004682115702173906,0.0018352436615484803
741,He said he saw leprechauns yesterday.,I knew he told a lie.,Leprechas are very shy animals.,0.019944884567430512,0.024609799614233673,0.02082531579662564,0.004664915046803161
742,Fresh air should be delivered.,More tubes are needed.,Tubes provide air.,0.0033335396709592425,0.006555027796084725,0.002986166355815635,0.0032214881251254822
743,Having pollen stored up is something the bees are keeping for mid-late winter.,The queen begins to increase her egg laying rate at that time.,Pollen is released from the queen during the early part of the summer when it is ready to hatch.,0.03927977729696984,0.05977743853040965,0.06765347909504142,0.028373701798071582
744,This bee hurts and cannot dance.,It cannot communicate with other bees about the food sources.,Bees have a hard time communicating with each other due to their hard-wired sense of smell.,0.007318974161697897,0.015802441683807605,0.008559693944593917,0.008483467522109708
745,John has a pest infestation in his garden.,He bought some medicine to get rid of squash bugs.,Squash is one of the most common pests of plants.,0.01611931169286319,0.01993964166536091,0.042763491206336456,0.026644179513473264
746,Litter killed the cleaner.,All aspects of society should be responsible for his death.,Cleaner is a part of society.,0.009570253698244898,0.01564998910472588,0.009114077367556102,0.006079735406480982
747,Jack is an oceanographer.,He is at sea all the year round.,Oceanographers are scientists who study the effects of climate change on marine life.,0.01209955449738427,0.02584420370451135,0.010233750126426787,0.013744649207127082
748,Tim learnt more knowledge with the growth of age.,He becomes more excellent than before.,Age is a measure of the ability to adapt to new environments.,0.01127819656772382,0.01139847751371137,0.03076812833109005,0.01948993176336623
749,The man wished to reach Mercury in the atmosphere.,He would have to travel a long distances.,Mercury is a very small planet in the solar system.,0.00925279231358934,0.014201893907384881,0.06256742060212188,0.05331462828853254
750,All students have watsed some rice and thrown them.,There are more people starving.,Rice is used as a food source by about one-third of the population.,0.010611525012222513,0.021832335450992866,0.014386953790126424,0.011220810438770353
751,The hunter wants to hunt the deer.,He was always following the deer.,Hunters follow their prey.,0.14748628517339488,0.12886821907909046,0.2301702967550839,0.08268401158168903
752,I was starved for days.,I crave for food.,Food is a desire to eat something.,0.02338859153511588,0.0474504337527529,0.032798923931236804,0.024061842217637023
753,A long shower made my skin lost moisture.,I saw the Shrinkage on my body.,Shrinkages are a common cause of loss of moisture in the skin.,0.024363392307275036,0.03178564029070806,0.04511557238326332,0.02075218007598828
754,The living environment here is harsh.,The health of residents is affected.,Droughts affect the health of the people living in areas affected by climate change.,0.013865349624032568,0.029436568853968333,0.02378126401391789,0.015571219229935766
755,They poured a lot of waste water into the river.,The amount of pollutants they emit exceeds the limit.,Pollutants are harmful to aquatic life.,0.038388055252134026,0.04734251367899667,0.07165553121328942,0.033267475961155396
756,Water was used as as a new source of electricity.,This hydro-energetic power manifested its own drawbacks.,Hydro-energies are the most common type of renewable energy.,0.021433575564450615,0.03163629553599779,0.0720768168466241,0.05064324128217349
757,Tom has seen a lot of rhes and he bought some food for them.,"They are afraid of being hurt, so they walked and ate the food in Tom's hands.",Rhes eat food.,0.022786437547338344,0.040279578916095064,0.03216266509961065,0.01749314136875672
758,The students don't know what to represent the weight of a bull.,The teacher said that kilograms should be used.,Lungs are a measure of the mass of a human being.,0.05317948907552178,0.04742362549149299,0.046462961944586115,-0.0057558635840287906
759,Tom suffers from diabete.,Tom can only eat food with sweeteners when he wants to eat sugar.,Dietary sweeteners are the mainstay of most diets in the human body.,0.009415135533072537,0.058865191089041834,0.007577743302194183,0.0494500555559693
760,"When it comes to winter, trees begin to shrink.",Cedar shrinks in the smallest sense.,Cedar is one of the few plants with a slow-growing root system.,0.0041204106973226256,0.004961651126476541,0.004434375164878341,0.0008412404291539156
761,He wanted to remove hard water deposits from glassware.,He used vinegar.,Vinegar is a very easy way to remove the hard-to-drink water deposits found in glass.,0.10574081187647548,0.08174371012563736,0.11395264804313003,0.008211836166654551
762,We were curious about the light produced after a chemical reaction.,Our teacher informed us that it was chemiluminescence.,Chemilumine is a very bright light produced by the reaction of hydrogen peroxide to oxygen.,0.0660691426447413,0.06470509546828299,0.09268333947922144,0.026614196834480144
763,Tom bought some bricks.,He built his own Cuckoo house.,Cuckoos live in cuckoos.,0.041108591429077926,0.03364545772154101,0.03684260396314362,-0.004265987465934304
764,Tom has put a bismuth into the beaker.,He found that the bismuth was oxidized after several hours.,Bismuth is a non-toxic chemical used in the production of alcohol.,0.018126403883063642,0.021349944985424914,0.016619842087061278,0.003223541102361272
765,ADIS's doctor says ADIS's brain always unabated thinking.,ADIS's brain is always congested.,Congestion is a common cause of death in people with dementia.,0.009321502039682204,0.03778856387265887,0.019833471243974717,0.02846706183297667
766,The city has a large output of newspapers.,The number of lumber farms around the city has increased.,Lumber is one of the main sources of income in the city.,0.026302778679065348,0.02276358478980112,0.025854709336893888,-0.00044806934217146016
767,They were unable to make appropriate decisions.,They asked their team of experts for suggestions.,Experts provide recommendations.,0.022394940966463894,0.029706969646882596,0.03165021566543601,0.009255274698972114
768,/p/ can be realized in many ways in actual articulations.,These speech sounds were represented by the phenem /p/.,P is the sound produced by the vocalization of the animal.,0.014044584747614984,0.013698094651524075,0.017351994998570985,0.003307410250956001
769,Tom drink a glass of lemonade.,Tom was full.,Lemonade is a drink made from the juice of the lime.,0.01008523137226673,0.013373575018562144,0.1311020678896781,0.12101683651741137
770,John was interested in the study of human images.,He went on to study radiology.,Radiology is the study by scientists who study the effects of radiation on the human body.,0.010227539255689025,0.0284093743281404,0.025829222322480142,0.01818183507245138
771,The old woman wants to have food every day.,She tries her best to go to prison.,Prisoners eat their food.,0.008620724399649874,0.008018253548435376,0.025736828320342815,0.01711610392069294
772,The illiterary woman has no idea about election.,She wouldn't know the idea of the chosen people.,Elections are the process of choosing the people who will be the next president of the United States.,0.016557832141347255,0.014261496775451831,0.026432659061029772,0.009874826919682517
773,The man once contacted with contaminated rat urine.,He suffers from leptospirosis now.,Leptospisrosis is the most common cause of death in children with compromised immune system function.,0.05493407521349831,0.04063371775843936,0.04617319224673525,-0.008760882966763056
774,The boy was opposed to her idea.,The boy adopted many results to refute her.,Results are the basis of scientific research.,0.013714278244263987,0.019510808922772675,0.014247795420043305,0.005796530678508688
775,The cut was inflamed because of the invading bacteria.,The scientists found lots of leucocytes accumulated in this cut swallowing bacteria.,Leucocytes are a common cause of inflamed stomachs.,0.05456354245317435,0.08263442349514041,0.04471583543089266,0.02807088104196606
776,Resistant starch is difficult to digest.,Then people use the satiety of bananas to lose weight.,Bananas are a rich source of satiety.,0.03768430347511722,0.03714733947965456,0.05149431210075575,0.013810008625638533
777,Mary likes to eat vegetables without appearance.,Mary doesn't likes to eat parsley.,Parsley is a member of the parsley family.,0.05870349130217235,0.0443702464687738,0.0949982088274369,0.036294717525264544
778,Mary wants to make the best of her life.,She decides to study economy in college.,Economics is the study of the effects of production on the environment.,0.021693884608529296,0.016780737819322857,0.018842935843470545,-0.0028509487650587514
