cause,effect,explanation
Tom often touches the tin bar without any protection.,His skin was caustised.,Tin has antibacterial properties.
Geese spend a lot of time staying in their nests.,Geese build their nests carefully.,Behaviour depends on environmental conditions.
"As the environment deteriorates, the mass of the star decreases.",It becomes less bright than before.,Disturbances cause mass loss.
The guide lead the tourists to climb the mountain.,The guide adviced the tourists to have a rest.,Restrooms offer relaxation.
They are asked to make composites.,They used several different materials.,Composites are made of materials.
Mike's parents sent Mike to learn decryption.,Mike learned to reverse the unintelligible data into meaningful data using a key.,Decryption is the process of reversing the unreadable data into useful data.
Tom has a peel.,"Since then, Tom's skin has become red.",Picks have redness.
Lucy has bought a professional book.,She firstly gave a look at the guideline.,Guidelines are lists of recommendations.
Metals with high conductivity can be used to make wires.,"Copper, tin and aluminum are all good choices.",Copper is an extremely high conductance metal.
Lily has conflict with Lucy.,Their friends mediate their conflicts.,Mediation is the art of resolving conflicts.
There are many dwarfism patients.,Most of them have achondroplasia.,Dwarfism is the most common type of dwarfism.
John was not armed.,He picked up a stick.,Sticks have sharp edges.
Host switch occurred between the two patients.,Plasmodium vivax malaria of one of them was passed to the other.,Pertussis is transmitted from one patient to another by plasmid-mediated transmission.
This is a case of recidivism.,The criminal repeated his previous crime.,Recidivism is a criminal repeated past crime.
"In an orchard, a photographer prepares to take a picture of papaya flowers.",The grower tells the photographer to come back when the papayas are about one meter tall.,Papayas grow up to two meters tall.
Jack is an agronomist.,He studies the particular plant science concerning crop production.,Agronomists study specific plants.
It is said that brachiopods appeared in that forest.,Many biologist went there for their rarity.,Brachiops are among the rarest of all terrestrial animals.
She keeps some ringtails.,She bought some meat as fodder.,Ringtails feed on meat.
John bought some kits.,Their total weight is 100 ounces.,Kits weigh less than pounds.
Poison damages protein by destroying the peptides.,The protein expression will not be regulated in this case.,Proteins are proteins involved in the regulation of protein expression.
I didn't know what the small brown capsule was.,My father told me it was a pupae.,Pupae are small brown capsules.
Kudus are African animals.,We can see many stripes on their backs.,Truffles appear on the backs of rhinos.
The blanket was dirty.,He cleaned the surfaces.,Blankets have surfaces.
The plankton bloom all died of the pollution.,The manta was hungry.,Pleasants eat plankton.
The plane was hit in thunderclouds.,It was destroyed by large amounts of electrical energy.,Thunderstorms are a common cause of damage to aircraft.
Tom is four-month years old.,He can walk.,Pediatricians recommend pediatrics.
I want judge her boyfriend.,I try to watch his behaviours.,Judgment is the process of watching behaviour.
The metal was conducting electricity.,The electrons tiny charged particles inside atoms carried the electricity.,Electrons carry small electric charges.
Prevalent phenomena are usually acceptable at that time.,Cannibalism seems to have been acceptable in the earliest times.,Cannabis is a hallucinogenic drug.
Vegetarian don't eat meat.,Hares wont eat meat.,Hares are omnivores.
Winter is coming.,Many birds are flying to south these days.,Flight comes from south as well as east.
Mapel looked at the stars through a telescope.,Mapel only sees a lot of light spots.,Astronomers use binoculars to look at stars.
The researcher analyzed the nucellus into details.,He found that it consists of many living parenchymatous cells.,Nucelli are among the most abundant living cells on the planet.
The growth of Myceliums should be promised in Tom's experiment.,Tom put the microorganism in suitable substrate.,Microorganisms grow on suitable substrates.
The natural habitat was exploited a lot.,It was almosted destroyed.,Ecology is the study of natural habitats.
Luna wants to take pictures of some flowers in early spring.,She finds some hepaticas in the fields.,Hepaticas are a type of flowering plant.
The government encourages students to learn knowledge.,Only in this way can students make an impact in the future.,Knowledge leads to impact.
The child described big black birds in his dream.,His parents told him not to be afraid of ravens.,Ravens are large black birds.
The doctor told the pregnant woman to have food with high folic acid.,She went to buy beets in the supermarket.,Beets are high in folate.
He was interest in painting.,His favorite was the painting patterns.,Paintings have patterns.
There are many areas in our country.,"We can identify the, through their different characteristics.",Variability is the ability of a population to adapt to change.
There is no precipitation in this region. .,The prospect of the harvest looks bleak. .,Prey crops depend on precipitation.
Tom likes to eat tasteful fruit.,Tom often buys avocados.,Avocados are one of the most popular fruit in the United States.
He is the deputy of the CEO.,He is responsible for the security of CEO.,Departments have security.
Scientists are studying pollination of flowers.,Scientists found that nocturnal insets and the flowers themsleves do great help.,Pollination is one of the most misunderstood aspects of pollination.
Tom ate a lot of spicy food.,His stomach mucosa was damaged.,Pungent foods can cause digestive problems.
The student majored in medicine had to choose a ressearch interest.,He chose Psychiatry.,Pharmacology is the study of the pharmacology of drugs.
My father is an acrobat.,He tried to make my body highly plastic.,Acrobats have plasticity.
Capitalism had a rapid development in this country.,Many factories which concentrated on production sprung up.,Proletarianism is the development of industrialization.
There was a quake in the city.,The instrument detected the wave.,Quakes produce waves.
I observed the whole process of guppies giving birth.,I saw the baby guppies come out and swim away.,Guppies give birth to babies.
The source of the toxins were exposed to a large amount of heat.,It emited a lot highly toxic fumes.,Toxins are very sensitive to heat.
Mary's body is very flexibel.,She is able to move body joints through a full range of motion.,Flexibility refers to the ability of the body to move itself through an extended range of movement.
Tom wanted to get some gelatine.,He hydrolyzed collagen by boiling skin ligaments tendons etc.,Gelatine acts as an anti-oxidant.
Tom puts the bananas in the bag to ripen.,There are water drops on the inner wall of the bag after the banana is ripe.,Blankets have water droplets on the outer wall.
Air saturation builds up.,The resistivity increases gradually.,Resistivity increases as resistance increases.
That piece of blue and white porcelain dates from the Song Dynasty.,From its body can be seen the prosperity of the Song Dynasty.,Blue is the colour of the skin.
Seapals were ruptured by naughty kids.,The developing bud lost its protection.,Pseudoses require protection.
At night Tom explored the subterranean burrows often excavated by aardvarks.,He found warthogs.,Warthogs excavate underground burrows.
Sheep still need to be outdoors in winter.,Ensuring their nutrition is critical.,Nutrition depends on outdoor activities.
Bob read some related publications.,He learned more details.,Details lead to knowledge.
He studied at what are quills made of.,At last he knew they were made of modified hairs with a coat of keratin.,Quills are modified hairs made from modified hairs.
The Smiths live in Amazon.,The elderly in the family are all over 90 years old.,Inhabitants include older adults.
Tom visited the zoo.,Tom discovers that cubs live in different areas of the zoo depending on their genders.,Zoos have different sexes.
Squeezing the juice out of the fruit diminishes the nutritions inside.,Juices are not as good as fruits.,Juices have nutritive properties.
"After the Second World War, the population's standard of living and reactions changed.","After World War II, global governance has changed.",Governance is the responsibility of governments.
Tom is very careful about eating healthy.,He substituted linseed oil for soybean oil.,Linseed oil is one of the most widely used vegetable oils in the United States.
Mary likes motmots very much.,She likes their turquoise plumage especially.,Moatfishes have turquoises.
The old man wanted to keep healthy.,The old man ate food that can purify his body.,Suffocation is the process of keeping healthy.
I planted dogwoods in my garden.,It thrived without being overwhelmed by other various plants.,Dogs thrive on other plants.
I once used ointments.,I think lotions are better.,Ointments are the most effective way to treat a wide variety of skin conditions.
Customers should be informed of safety instructions.,Attendants who are familiar with safety instructions are needed.,Attendants provide instruction.
The poor lady became our queen.,She could live her natural life span.,Princesses have natural life spans.
People have long been inseparable from petrochemicals such as plastics.,Experts worry that the environmental protection policy on petroleum use will be aborted.,Phthalates are among the most toxic chemicals known to man.
My phone is fully charged.,I can make calls now.,Charge is the ability to make phone calls.
Rodents have special teeth.,Teeth show one of their characteristics.,Dentists specialize in one characteristic.
John saw the criminal's face and told the police.,The police got the criminal.,Face recognition is used to identify faces.
Tom has many kinds of waterfowl in his farm.,Tom needs to prepare a variety of different feeds.,Feeds depend on variety.
He is a slave to the landlord's family.,He was forced by the landlord to do something.,Slavery is a system of oppression.
The boss made over all his equity in the company.,He no longer has the ownership interest of the business enterprise.,Equity is the ownership of all business enterprises.
The plastic was decompsed.,There are a lot of carbon dioxide around it.,Carbon dioxide is a greenhouse gas.
Mary wants to have a localized massage on her hands.,The doctor tells her to do acupressure.,Assistive massage involves massagees.
The examination data showed severe calcification.,The doctor said she had an aging placenta.,Calcification is a common cause of death in elderly women.
The citizens hope the government can build more ways.,The government considers different environmental consequences.,Preservation depends on environmental impact.
Peregrines passed my sight.,I saw swift shadows.,Deafness is a sign of deafness.
Tom wants to collect some remains of marine invertebrates.,He picked up a lot of seashells.,Seahells live in the ocean.
This hamburger restaurant ran out of meat.,It ordered raw meat from the farm of cattles.,Cattles produce raw meat.
Lisa went to the zoo and saw the stag.,She saw that most stags are dark brown with a prick on their neck.,Stags have a reddish-brown patch on their necks.
He is addicted to alcohol.,He can't control his life.,Alcoholism is the leading cause of death in the United States.
He earned a lot of mony this season compared with last one.,His profit increased a lot.,Mony generates revenue.
The bomb on the left exploded.,The bomb next to it exploded too.,Destruction causes explosions.
The doctor told William that his eyesight was gradually losing.,The doctor used radiotherapy to treat William.,Radiotherapy is the treatment of slowly losing the ability of the eye to sense light.
Courtney feels that she has a high level of carbon dioxide.,The doctor takes a blood test on her.,Carbon dioxide is present in the atmosphere.
The ground was scattered with decaying fish.,The air is full of the stink of decayed fish.,Degradation is a common cause of death in marine environments.
Their company has laid down a series of mining rules.,They follow this rule in every mine areas.,Mining is the process of laying down a set of mining regulations.
The lady hoped her poodle can have enough nutrients.,She bought various food containing proteins and so on.,Poodles are omnivores.
Tom seached for relevant laws.,He didn't know which version to follow.,Sections require interpretations.
Peter exposed a live circuit to a changing magnetic field.,The state of the wire changes.,Circuits change over time.
Tom wanted to do some studies.,Tom went to the school lab and finished the studies.,Studying is the process of getting a certain result.
Explosives dissolve easily in water.,It difficult for scientists to extract the explosive molecules of explosives.,Probes contain explosive molecules.
Tom has suffered migraine for a long time.,He felt dizzy yesterday.,Nausea can be a symptom of migraine.
They saw meerkats in South Africa.,They were surprised by its unique patterns.,Erythropods have distinctive patterns.
Tom wore two left boots in the morning.,His foot was uncomfortable.,Boots provide stability.
He analysed the composition of the soil.,He discovered many different elements.,Terms are used to describe various elements.
Overloading has caused serious consequences.,There are rules for penalizing such consequences.,Rules apply to all types of loadings.
Mike is a sheriff.,He was elected as officals in his county.,Deputies are elected by the people of their counties.
Tom has many adjacent plots.,These plots are full of wheat.,Wheat is one of the most abundant crops on the planet.
He wiped those nourishment on the tissue.,The test showed that the deeper tissue has got the nourishment.,Lungs get nourishment from deeper tissues.
Larvaceans are growing every day.,Larvaceans would handle more materials to make their houses more comfortable.,Houseplants require materials.
Tom borrows money from his colleagues every day.,He is in debt now.,Credit is a measure of the amount of money a person has.
Lucy recently has a diet.,She eats a lot of fruit instead of rice .,Fruit contains carbohydrates.
This boy was provided with enough toys in his childhood.,His sensory organ developed very well.,Toys provide stimulation.
Trogons are good at finding cavities.,Trogons built their home in a cavities.,Cavities consist of cavities but cavities also contain cavities as well.
This field is all monoculture.,They all just grow corn.,Monoculture is all about growing corn.
There are many paths in the park.,They have different functions.,Paths provide functions.
Tom's body is deficient in protein.,The doctor advised him to eat more lean pork.,Protein is the body's primary source of protein.
These membranes are permeable.,Exchanges can occur across them.,Polarity is a measure of the permeability of a membrane.
Iron man is dying.,Every one in the audience region is weeping or crying.,Suffocation is a common cause of death in men.
She had a blood routine examination.,The doctor found the level of carbon dioxide was too high.,Examinations require carbon dioxide levels.
John wanted to raise a semi-hardy perennial.,He raised buttercups.,Mushrooms are hardy perennials.
A lady needed twigs to make an art work.,She took the scissors to cut the shrubs.,Thistles are tools used to cut shrubs from twigs.
John is looking in the mirror.,He found his eyes blue.,Blindness is a common symptom of blindness.
The house owner wanted some trees inside his house.,He decided to buy some hemlocks.,Hemlocks are a member of the hemlock family.
The house was on fire and the people needed water to put it out.,People came to the bay.,Bays provide water.
He was confused when he faced options.,He was confused about which career path to choose.,Choices lead to choices.
Tom is a petrologist.,Tom studies rocks as his analysis.,Rocks provide rocks.
I have difficulty checking all the machines.,I turn to the technology of my colleges.,Institutions provide education.
The weather is hot throughout this year.,Beets dosen't grow well.,Beets are susceptible to drought.
The doctor diagnosed the spread of virus particles in the patient.,The doctor found that there were on all epithelial surfaces.,Ectoplasmosis is spread from epithelial to mesenteric surfaces by a virus particle.
The content of methanol in the new house overwhelmed the body's capacity.,The worker was poisoned.,Methanol is toxic to the body.
He explored the metal coating of halogen lamps.,He found some dysprosium.,Phosphorus is an insoluble metal.
Tony wanted to buy some food.,He bought one hamburger in a McDonald's store.,Hamburgers are one of the most popular fast food chains in the United States.
He grew up and became a well-known jeweler.,He created a lot of fine jewelry.,Jewelers make jewellery.
Those men are hikers.,They have a strong desire to drink water.,Hikers seek water.
Air pressure should be measured.,Barometers are needed.,Barometers measure pressure.
A group of thiefs were caught.,They handed in the stolen things.,Lying is a crime of deceit.
He composted the soil.,The pH of the soil gradually balances out.,Composting helps to balance the pH of soil.
My grasshopper did not drink the water I prepared.,"It is normal, what it eats have enough water.",Grasshoppers drink water.
The machine has some functions similar to the human minds.,It can identify some obvious patterns.,Patterns are patterns found in the human mind.
Tom squeezed all the fuel with the machine.,The fuel compression was done.,Compression refers to the amount of pressure applied to a material at a given pressure.
John observes the way animals breathe.,He saw the diaphragm contract as the rabbit inhaled.,Diaphragms contract when they breathe.
I bred this tiny dog as my pet.,My family called it toy.,Pets are small dogs.
The frogfish rushed to its prey.,The prey got into its mouth.,Frogfishes have mouths.
Tom stepped in narrow deep cracks in the glacier.,His friend yelled tom stepped in Crevasses.,Crevasses is a narrow deep crack in the glacial glacier.
The list shows that you used much water last month.,I cleaned my whole house in and out during last month.,Water is a measure of the amount of water in a given area.
This special organization is in charge of tracking.,It manages occurrence of data.,Organizations collect occurrence data.
Synthetic resin smells toxic when burned.,Tom's clothes made of polyester smell poisonous when burned.,Polyester is one of the most toxic chemicals known to man.
There are many sparrows in the orchard.,Many insects are eaten by them.,Sparrows eat insects.
He was bit by wasps.,He felt very painful.,Bitters can cause pain.
My baby became a teenager.,The baby bike could not bear his weight.,Teenagers are heavier than adults.
I had a budgie.,I found its interest.,Budgies are very curious animals.
Tom is an engineer.,He studies different kinds of structures.,Structures have structures.
The clocks are moving all the time.,They are like living creatures.,Timers cause motion.
The gardener was hired to take care of my poinsettias.,He prevented it from harm of mealybugs with great efforts.,Gardening is the process of taking care of a particular disease.
Tom searched the Internet for the nature of loudness of an instrument.,It turned out to be dynamics.,Dynamics is a term used to describe loudness.
It is important for people to know important events of the country every day.,The editor has left a special page for national news.,National news includes national news pages.
Tom was infected with pneumonia.,Tom's family was worried about him.,Pneumonia is a common cause of death in the elderly.
Tom has just had a wine.,Tom fails the blood test.,Vinegar can lead to blood clots.
They climbed up to the peak of the hill.,They felt the climate much colder than that at the foot of the hill.,Fluctuations affect temperature.
Color in a relatively permanent skin layer like the dermis would not fade soon.,Tattoos can keep its color for a long time.,Temperatures vary greatly in relation to the amount of moisture in the skin.
Kate is suffering from thermal hyperalgesia.,Kate's doctor prescribed a drug containing zinc.,Zinc acts as an anticonvulsant.
Some of the leaves on Tom's potted plants are getting old and dying.,There are mildew spots on some leaves.,Mildew is one of the most common causes of wilting.
Tom wants to draw a digital image.,Tom draws graphics by drawing pixels.,Pixels are digital images.
She is a witch.,She can heal small animals.,Witches can heal large animals.
Kur is using a microscope to observe the growth of pollen tubes from the surface of pollen grains.,Kur named it germination.,Germination is the process of attaching pollen tubes to the surfaces of the pollen grains as they grow.
Lucy has suffered form infertility.,Lucy didn't deliver a live baby.,Fertility is the delivery of live babies.
There was a light rain in the polluted city.,The visibility was lower.,Pollution affects visibility.
The building is of low visibility in fog.,It can only be seen to a low degree.,Fog has low visibility.
These adolescent boys haven't had any relationships yet.,Masturbation occurs frequently.,Adolescence is a time when relationships develop.
Tom wants to collect fructose.,Tom chooses kiwi to collect fructose.,Kiwi is a member of the sugar family known as fructose.
Tom wants to take photos of kinglets.,Tom goes to evergreen forest to find the bird.,Evergreens are one of the most common birds of the evergreen family.
Bob told his mother that the bird was masticating happily.,Mother pointed out Bob's mistake and said that birds can't masticate.,Mastication occurs when a bird masticates happily.
He wants to control noise.,He uses slits as devices.,Slits are used to control sound.
Peter had a serious illness when he was a baby.,His mental development is slower than that of his peers.,Psychology is the study of mental development.
The man invented speech resynthesis.,Its is possible for text-to-speech process in different languages.,Resynthesis is the process of converting text into sound.
The magazine has pictures of naked girls.,The magezing is classified as pornographic magazine.,Pornography is defined as any act of sexual intercourse without the consent of the subject.
Ability of chemically interacting with many other substances indicates chemical instability.,Phenols has chemical instability.,Phenolines are chemically unstable.
The explorer wore crampons in climbing the snow mountain.,The spike-soled boots helped him in climbing.,Crampons help climbers.
Mary has to settle all the problems in these three modules.,She tries different principles and solves them respectively.,Modules have principles.
His major is kinesiology.,He is very knowledgeable about movement.,Kinesiology is the study of movement.
The multiplet volume increases rapidly.,The occurrence of flocculation had an obvious influence.,Flocculation refers to the rate of increase in the volume of a given volume.
He bought some equipment.,He got some cloak devices.,Cloak devices have cloaks.
This kingdom is rich in wines.,Their  vines and bounty are envied by other kingdoms.,Wine is the fruit of vineyards.
The restaurant sells Smoothies.,They orders fresh fruit from fruit stores.,Smoothies are fresh fruit.
Tom has listed a wrong equation.,The whole problem solving process was wrong.,Equations have problems.
Scientists cut off the lateral roots of ragweed.,Ragweed is still vigorous.,Ragweeds have lateral roots.
Lake wants to work out full hard glute.,Lake's fitness instructor asked him to practice lunge.,Lunge is one of the most common glute movements.
Som oil was added to the carrier oil.,The carrier oil was diluted.,Dispersal is the process of diluting a carrier oil by dissolving it in water.
The Adhesives were exposed to oxygen.,They hardened.,Adhesives are made of carbon dioxide.
Tom lost his legs before many years when he happened to a car accident.,He can't walk.,Legs are made of muscles.
A boy slipped on the ice.,The boy followed him slipped too.,Icefall is a common cause of injury to children.
Tom is going to buy a bicycle.,He is also equipped with a helmet for safety.,Cyclists wear helmets.
This tree has great viability.,It has great potential to germinate.,Germination is the process of germinating a plant.
Tom has some biluminescenes in the sea.,He found that there were some dinoflagellates.,Laluminescence is caused by the presence of a certain amino acid.
There was a swan in the office.,The official got the beautiful feather.,Swans have brilliant plumages.
It had been fifteen years since the aardwolf was born.,It died before long.,Aardwolves are one of the oldest animals on earth.
There is something wrong with the patient's valve.,The doctor found that his valve did not close when the heart contracted.,Valves have valves.
Jerry is allergic to lactose.,He may eat most unusual foods by mistake.,Lactose is one of the rarest foods in the human body.
A pterosaur was running in the forest.,No one can run more fast than it.,Pterosaurs are able to run at speeds of up to two hundred miles per hour.
Tom was diagnosed with asexuality.,His wife has no sexual desire on him.,Asexuality is the opposite of heterosexuality.
The boys were trained with patterns.,They developed fixed habits.,Patterns are patterns of practice.
The orphan Lucy was sad when she saw a happy family.,The leader of the orphanage decided to find a kind person for her to adopt her.,Organizations adopt children.
Lucy's trainer is both a teacher and friend.,She extremely likes her trainer.,Teachers love to teach.
Tom was lying in the bed and reading a book.,He fell asleep in a few minutes.,Blindness is a common cause of sleep loss.
Developer Edward was asked to optimize the design.,He hence did unit tests.,Test is the process of conducting tests.
Jack suffers from asthma.,Doctors diagnosed his son with asthma.,Asthma is one of the leading causes of death in children.
Tom put a magnet near some coins. .,The coins were attracted together by the magnet. .,Magnetism attracts coins.
Too many activities have been hold in this city.,Some residents were injured during these activities.,Activities cause injury.
The environment here is suitable for the family cercopithicidae.,There are many mangabeys living here.,Mangabeys are one of the most common family members of the mangabeyphids.
The acne bacteria was blocked under thick cloth.,The cloth was cut for oxygen to get in.,Acne is a common cause of skin irritation.
John put on his the reading glasses to see the ground.,John found a dent in the ground.,Dent occurs when a piece of ground is exposed to the air.
"In addition to the daily food, I also put aquatic insects into merganser's nest.",The next day I found that the aquatic insects had been eaten.,Mergansers feed on aquatic insects.
A salesman visited her and recommend her some laundry detergents.,She was impressed with the salesman’ politeness.,Laundry detergent  politeness is the attitude of a salesman.
Some parasites lay their eggs on cloves.,A few days later the eggs died.,Leafs are very sensitive to parasites.
Tom picked up a whip.,He gave it back to the jockey.,Knives are used by jockeys.
I heard bird songs from green leaves.,I began to look for the orioles hidden in it.,Orioles are one of the most misunderstood birds of all time.
The workers have prepared some silts.,They plan to utilise them to build walls.,Silts are used in the construction of walls.
Lucy majors in ecology.,She studies the relations among different creatures.,Ecology is the study of relationships among different species.
He put the cells in contact with the surface.,He found that adhesion had occurred.,Adhesion occurs when cells interact with surfaces.
A robin is hungry.,It flies to the ground for food.,Robins eat a variety of prey including insects.
They decided to travel China this summer.,They first left Beijing and started from Shanghai.,Travelers take advantage of weather.
He was honored as a hero because of his brave deed.,He was allowed three days of extra holiday and he returned his home.,Pride is the ability to live a life without fear.
Tom has a strong ability to survival.,He was the final winner of the game.,Survival depends on ability.
Jason and I saw a mammal passing along.,He told me there is a good chance that this mammal is an artiodactyl.,Artiodactyles are mammals.
The scientists injected nitrite into child blood.,The scientists found that the oxygen carrying capacity of the child's blood declined.,Nitrites are toxic to the human body.
We saw something plunge-diving from the air.,The teacher explained it was a booby getting its food.,Booby diving is a method of getting food out of the water.
A star crashes into the sun where nucleosynthesis occurs.,The star is burned and squeezed into ashes.,Nucleosynthesis is the process of converting hydrogen into oxygen.
Lucy's mother took use of astragalus to make food for her.,Lucy becomes much healthier than before.,Begragalus aids in the body's natural aging process.
Mineral-rich herb is good to human body.,He bought some chickweed to build his body.,Chickweed is one of the most abundant herbaceous plants on earth.
The scientist applied some nitrogen fertilizer to the lawn.,The lawn has absorbed nitrogen fertilizer.,Nitrogen is a renewable resource.
Tom eats dairies every day.,He kept health.,Dairies provide health.
My major is anthropology.,I study people in different culture settings everyday.,Ethnography is the study of people from different cultures.
Frank eats nutritious food every day.,He is getting smarter and smarter than before.,Nutrition improves health.
Mary found the extrusion of a mass through her vagina.,The diagnosis showed that this was prolapse.,Prolapse is when a mass is extruded through the vagina through the cervix.
He likes making animations.,He enjoys the process of making still images appear alive through the action of motion.,Animation is the process by which an image appears alive through a process of animation.
Lucy recenly did a reserach about berkelium.,She found that there was somehting in common with actinide.,Berkelium is one of the rarest of all berylliums.
There are several ocelots near Tom's farm.,Tom loses his sheep once a week.,Ocelots feed on sheep.
Metabolism indicates change of energy.,Trainers have changes of energy in their body.,Trainers use metabolisms to detect changes in energy.
Grace's father caught a babirusa.,Grace couldn't bite its meat at dinner.,Babruses eat meat.
The guest asks for a new plate.,The waitress walked to him.,Plates have plates.
Lina went into her bedroom carelessly.,She was tripped by the chair.,Clubs have chairs.
He said he saw leprechauns yesterday.,I knew he told a lie.,Lepreches eat prey.
Fresh air should be delivered.,More tubes are needed.,Tubes deliver air.
Having pollen stored up is something the bees are keeping for mid-late winter.,The queen begins to increase her egg laying rate at that time.,Pollen accumulates in late winter.
This bee hurts and cannot dance.,It cannot communicate with other bees about the food sources.,Bees use communication mechanisms to communicate with each other.
John has a pest infestation in his garden.,He bought some medicine to get rid of squash bugs.,Squash is one of the most common pests of gardens.
Litter killed the cleaner.,All aspects of society should be responsible for his death.,Cleaner is a member of society.
Jack is an oceanographer.,He is at sea all the year round.,Oceanographers study ocean currents.
Tim learnt more knowledge with the growth of age.,He becomes more excellent than before.,Knowledge leads to success.
The man wished to reach Mercury in the atmosphere.,He would have to travel a long distances.,Mercury is about the distance from the earth to the sun.
All students have watsed some rice and thrown them.,There are more people starving.,Watses eat a wide variety of food.
The hunter wants to hunt the deer.,He was always following the deer.,Hunters follow deer.
I was starved for days.,I crave for food.,Hunger causes hunger.
A long shower made my skin lost moisture.,I saw the Shrinkage on my body.,Shrinks cause loss of moisture.
The living environment here is harsh.,The health of residents is affected.,Living environments affect health.
They poured a lot of waste water into the river.,The amount of pollutants they emit exceeds the limit.,Pollutants can be harmful to aquatic life.
Water was used as as a new source of electricity.,This hydro-energetic power manifested its own drawbacks.,Hydro-energies are renewable sources of energy.
Tom has seen a lot of rhes and he bought some food for them.,"They are afraid of being hurt, so they walked and ate the food in Tom's hands.",Rhes eat food.
The students don't know what to represent the weight of a bull.,The teacher said that kilograms should be used.,Bulls have kilograms.
Tom suffers from diabete.,Tom can only eat food with sweeteners when he wants to eat sugar.,Sweeteners are a type of sugar found in many foods.
"When it comes to winter, trees begin to shrink.",Cedar shrinks in the smallest sense.,Cedar is one of the oldest trees in the family.
He wanted to remove hard water deposits from glassware.,He used vinegar.,Alkalinity is a measure of the amount of dissolved solids in the water.
We were curious about the light produced after a chemical reaction.,Our teacher informed us that it was chemiluminescence.,Chemicals produce light.
Tom bought some bricks.,He built his own Cuckoo house.,Bricks are made of bricks.
Tom has put a bismuth into the beaker.,He found that the bismuth was oxidized after several hours.,Bismuth is an oxidized substance.
ADIS's doctor says ADIS's brain always unabated thinking.,ADIS's brain is always congested.,Congestion leads to a state of undisturbed thinking.
The city has a large output of newspapers.,The number of lumber farms around the city has increased.,Roughly one-third of all newspapers are produced in the city.
They were unable to make appropriate decisions.,They asked their team of experts for suggestions.,Assessments are made by experts.
/p/ can be realized in many ways in actual articulations.,These speech sounds were represented by the phenem /p/.,Pronunciation is the representation of speech sounds.
Tom drink a glass of lemonade.,Tom was full.,Lemonade stimulates the body's desire to drink water.
John was interested in the study of human images.,He went on to study radiology.,Radiology is a field of study devoted to the identification of images.
The old woman wants to have food every day.,She tries her best to go to prison.,Prisoners suffer from hunger.
The illiterary woman has no idea about election.,She wouldn't know the idea of the chosen people.,Literacy is the knowledge of the choices made by the people.
The man once contacted with contaminated rat urine.,He suffers from leptospirosis now.,Leptospisrosis is one of the leading causes of death in rats.
The boy was opposed to her idea.,The boy adopted many results to refute her.,Opponents adopt results.
The cut was inflamed because of the invading bacteria.,The scientists found lots of leucocytes accumulated in this cut swallowing bacteria.,Leucocytes accumulate in inflamed cuts swallow bacteria.
Resistant starch is difficult to digest.,Then people use the satiety of bananas to lose weight.,Bananas are high in resistant starch.
Mary likes to eat vegetables without appearance.,Mary doesn't likes to eat parsley.,Parsley is one of the most common vegetables in the vegetable kingdom.
Mary wants to make the best of her life.,She decides to study economy in college.,Economics is the study of the distribution of income.
The helicopter came to another hemisphere of Earth.,The pilot saw jet streams.,Jet streams are jets flowing from one hemisphere to another.
These two are heterosexuals.,They sleep together.,Heterosexuals have sexual orientations.
The police fired a shot.,The birds on the tree were scared away.,Shot kills birds.
Tom wants to eat some seafood.,His mother took use of fumigation and made sure that seafood are clean.,Fumigation is the process of removing harmful bacteria from the food.
Tom loves smiling.,Tom often feels happy.,Smiling is a sign of happiness.
The philosophers have proposed a lot of true perceptions which are beneficial to poeple's life.,All of generations accepted and took use of them.,Poeple is one of the most misunderstood aspects of human life.
The diver visited many ocean basins.,He found beautiful seamounts.,Surface basins are rich in marine biodiversity.
We plan to see ringtails.,We will go to the habitats.,Ringtails live in habitats.
He is a soccer player and good at heading the ball.,He won MVP in the game.,Soccer is a game of heads.
Scientists study the paramagnetism of atoms.,Scientists have discovered the permanent magnetic moment of atoms.,Paramagnets are permanent magnetic moments.
There was an accident.,A journalist was explaining it to the audience.,Journalists explain accidents.
The temperature has risen.,The pressure in the tank has increased.,Pressure increases with temperature.
I have seen fleas's three stages in their lifecycle.,Fleas have at least three stages.,Fleas are the fourth stage of their life cycle.
The flower was beautiful and fragrant.,Lucy went to smell it.,Flowers produce scent.
The farmers planted many crops.,Grain can be used to make food.,Grain is used as a source of food.
I've been feeling under stress lately.,Various health problems prevail these days.,Stress is associated with various health problems.
This two kids will go to skiing this afternoon.,Their parents asked them to wear protective clothing in case of accidents.,Skiing is one of the most dangerous activities on earth.
Tom became a father.,He should take on more responsibilities.,Fathers have responsibility.
Lisa is an architect.,Lisa designs buildings.,Architecture is the art of building.
The petechiae on his arm became much bigger.,The petechiae might turn into eccchymoses.,Petechiae become larger when they become larger.
Mosquitos are ubiquitous around here.,We can raise some bullfrogs.,Bullfrogs are one of the most abundant aquatic plants in the western United States.
Fishermen harvest many fish with broad flat bills and many of them are hurt by the tooth-like notches.,It is the time of trumpeters recently.,Preyers have narrow flat bills.
The nature is the gift for the whole world.,Faeries like living in it.,Faeries live in harmony with nature.
He attacked her without proof.,He is quite a lunatic.,Lunatics attack people without evidence.
Mary bought some boletes from the market this morning.,The boletes decayed this afternoon.,Boletes are scavengers.
He bought some stock.,He holds securities in a fractional ownership stake in this company now.,Securities are securities owned by a small group of people.
Jack is a monotheist.,He believes there is just one god in the world.,God is divinity.
