The woman gave birth to a child. The child brought psycho-physical phenomena on a new life.,Birth is the arising of the psycho-physical phenomena.,Psychosomatic phenomena are the physical manifestation of a new mental state.
Tom is looking up the dictionary. He found many words subject to shellfishes.,Shellfishes have english definition.,Shellfishes are one of the most common marine invertebrates.
It has been raining and humid recently. The pistachio is infected with the disease.,Pistachios are intolerant of high humidity during the growing season due to disease susceptibility.,Pistachios are one of the few plants susceptible to the disease due to their high resistance to heat.
He looked at the center of the spiral of the star with Kepler telescope. He found bring bulges in the flat disk-like spiral.,Spirals are flat disks of stars with bright bulges in their centers.,Bumps are a common feature of spiral galaxies.
The manager compared several proposals received. The manager immediately found out which uses the best techniques.,Comparison reveals techniques.,Proposals use techniques.
This boy was exposed to contaminated rat urine. He was diagnosed with Leptospirosis.,Leptospirosis is a disease transmitted through contact with contaminated rat urine.,Leptospisrosis is the most common bacterial infection in children with compromised immune system function.
Tom was prepared to join the parade. Tom went to the street to join the parade.,Parades are outdoor activities.,Parades have floats.
Bob was killed. He was punched and kicked before he died.,Kill can involve punchings.,Murder is the intentional killing of a human being by another human being in the process of self-destruction.
Tom has sold the house. His parents moved to another house in another village.,Parents have several places.,Tenants move from one place to another.
Jack tried to make his female terrapin reproroduce his child on her own. Jack is bound to fail.,Terrapins reproduce using sexual reproduction.,Terrapins are the offspring of male terrapins.
Scientists want to find the animal with the largest eye among mammals relative to their body weight. The scientists found nothing but tarsiers.,Tarsiers have the biggest eyes of any mammal relative to their body weight.,Tarsiers are the smallest of all vertebrae in the human body.
The water flew from the community. It can't be used any more.,Wastewater is the flow of used water from a community.,Water is used to cool buildings.
Tom ate a Broccolis for vitamins. He took in additional nutrients.,Broccolis contain additional nutrients.,Broccolis contain vitamins.
Jenny wants to show her strength without restrictions. Jenny's mother called this behavior a crime.,Access is the ability to fulfill one's own individual potential without artificial constraints.,Violence is defined as any act of violence against one's own body in the presence of another.
Acids should not be preseved with chemicals of opposite features. One should preserve acids in a bottle with alkalis.,Alkalis are the opposite of acids.,Alkalis is a well-known preservative used in the treatment of many types of cancerous cells.
"Tom buys many toys each year. Now he has a collection of more than 1, 000 toys.",Consumption results in accumulation.,Families use toys.
The photographer saw different species of jackals. He observed the variety in their size.,Jackals vary in size depending on the species.,Jackals are a group of about one-third of the size of the human guinea pig.
We looked at a lot of photographs. We find that they emphasized characteristics.,Photography emphasizes characteristics.,Photographs focus on characteristics.
Tom always felt irregular heart beat. He was diagnosed with the palpitation.,Palpitations are a symptom described as the sensation of having an irregular heart beat.,Pseudomemetics is the most common cause of irregular heartbeats.
Tom needs to know the precise audio frequency. He measured with the unit of megahertz.,Megahertz is the number of cycles per second.,Megabits are the number of megabits per second the sound is transmitted over a given area.
The physicist gave an electron to a single charged ion. He found that neutralization occured.,Neutralization occurs when a singly charged ion gains an electron.,Neutralization is the process of making a single electron from a single charge.
Lili will choose a branch of systematics to continue her study. She chooses taxonomy.,Taxonomy is one of the three branches of systematics.,Taxonomy is the study of a group of taxa.
Many houses are equipped with heaters. The purpose of warming up has been achieved.,Heaters serve purposes.,Housing uses heaters to cool the air in the home.
Students listen to different lessons every day. They have to study for diffent goals of the lessons.,Lessons focus on goals.,Difficulty is a measure of the degree to which a subject is related to one's ability to learn.
"Lilia has a gift for singing. Although she has not received vocal training, her singing are very skilled.",Talent is the natural ability to do something well.,Songbirds have the ability to use their voice to communicate with each other.
Peter put the mallard in the lake. The mallard swam to the middle of the lake.,Mallards swim in water.,Mallards swim in shallow water.
Tom saw the production of light through a chemical reaction. Tom believes in chemiluminescence.,Chemiluminescence refers to the production of light through a chemical reaction.,Chemilumine is a type of light-emitting diodes produced by the photoreceptors.
Mary likes eating fish very much. Her mother always buys minnows.,Minnows are the most abundant of british freshwater fishes.,Minnows are a good source of protein.
The docter suggested Phytotherapy. Tom received treatment using plant products.,Phytotherapy is the treatment using plant products.,Phytotherapy is a plant-based approach to treat a wide variety of illnesses.
Tom is an expert studying astronomy. He have studied al extraterrestrial objects.,Astronomy comprises the study of all extraterrestrial objects.,Astronomers study the atmospheres of exoplanets.
Many patients were given medication. Some of them had allergic reactions.,Medication causes allergic reaction.,Antibiotics can be used to reduce the risk of allergic reactions in people with a wide variety of allergies.
The phycist is responsible for detecting trapped particles around the planet. He performs his resposibility with the help of magnetometers.,Magnetometers detect trapped charged particles around the planet.,Magnetometers detect trapped particles in the atmosphere.
The Aquifers were mostly pollution. We cannogt get clean water from those underground reservoirs.,Aquifers are underground reservoirs.,Cannogt is a natural by-product of the aquifers in the Gulf of Mexico.
Monkeys are particularly abundant in the forests of this habitat. The population of monkey is high.,Population densityis the number of individuals in some specified area of habitat.,Monkeys depend on their food sources to survive.
The electric wires fell into the water. Electricity was conducted to the water.,Wire conducts electricity.,Electricity is used to conduct electricity.
There samples of radiolarian and protozoan were placed under the microscope. The radiolarian was observed to be much bigger.,Radiolarians are of large size as protozoans.,Protozoan have a larger size than radiolarians.
It has been rainy most of the year and the soil is very wet. Muskmelons are not growing well.,Muskmelons are sensitive to damping off especially under cool wet soil conditions.,Muskmels grow best in dry conditions.
Jerry fainted with a shock. His serious condition needed immediate medical treatment.,Shock is a serious condition requiring immediate medical treatment.,Suffocation is a common cause of death in people who suffer from traumatic brain injury.
He met a blind man. He is very pity for this man.,Pity is a very common emotion in the sighted person towards a blind person.,Prayer is the act of placing oneself in a state of shame.
The chemist added many reagents to the two enantiomers respectively. All reagents proved the identical chemical properties of the enantiomers except the optically active reagents.,Enantiomers have identical chemical properties except toward optically active reagents.,Osmotic reaction is the most common method of ionization in the ionization process.
Linda's father is a builder. Linda's house is built by her father.,Builders build homes.,Buildings have builders.
Few people can eliminate their universal human traits in their experience. Most people seems to have the trait of ethnocentrism.,Ethnocentrism seems to be a universal trait of human experience.,Ethnocentrists are a group of people who believe in the existence of a universal human trait.
The male elk gradually grew up. The size of its antlers has also changed.,Antlers are produced yearly by male elk but the size of the antlers changes as the elk ages.,Elk have large antlers.
He wanted to study the flowers of the lily family. He first studied tulips.,Tulips are a part of the lily family.,Tulips are one of the most famous flowering plants in the lilies family.
Czech asked the teacher if there were other examples of non-homologous recombination. The teacher introduced transposition to Czech.,Transposition is another example of non-homologous recombination.,Transposition is the use of a group of proteins to alter the expression of another protein.
They weighed a carabao. The scale showed that it was 300kg.,Carabaos weigh kgs.,Carabao is about the size of a human hair.
The security inks should be preserved properly. They shouldn't be exposed to common eradication chemicals.,Security inks react with common eradication chemicals.,Remediation is the removal of harmful substances from the environment.
There was one part of the intestine folds in on itself in this patient. The doctor thought he had the intussusception.,Intussusception is when one part of the intestine folds in on itself.,Intussusceptibility is defined as the ability to see through the intestinal wall into the ileum.
I cooked the flesh in the kitchen. I smelt fine flavour.,Flesh has fine flavour.,Pasteurization is the process of adding flavour to a food by boiling it in a small amount of water.
The skippers are going to look for food. The skippers drank the nectar of various flowering plants.,Skippers dart actively around drinking nectar from a wide variety of blossoming plants.,Nectar is the main source of nectar in the flower.
The farmer fertilized the potatoes. The farmer had a harvest on potatoes.,Fertilizer provides benefits.,Fertilizer is used to fertilize crops.
Tracy's hiuse is in fire. The fireworkers took use of macrozamia.,Macrozamia are fire tolerant.,Macrozamia is a type of firewood used to make firewood.
John is an experienced thief. He has stolen something.,Thiefs have stolen things.,Lies cause people to lose faith in their own ability to defend themselves.
Tom doesn't know a few words. He can't express himself clearly.,Literacy is a gauge of one's language ability.,He has difficulty speaking.
I used pea seeds as the bullets of my catapult. I sent out bullets of different sizes.,Peas vary widely in seed size.,Pine is a type of bullet.
A serious criminal case has happened recently. The police department mobilized all its officers to investigate the case.,Cops are assigned with tasks.,Police respond to incidents.
Bell has a strong viability. He proves the function of vitality.,Viability is a function of vitality.,Vitality is the ability of the body to function as a unit of measure of the quality of life.
He has a lot of experience in mountaineering. He gave a lot of advice to the climbers.,Suggestions base on experience.,Mountaineers have experience.
My grandpa attached the hard hollow segments loosely. He made me a rattle.,Rattles are made of loosely attached hard hollow segments.,Rattle is a soft hollow segment of a rattlesnake.
The rats under investigation showed ischemic renal injury. They were injected with Polymerase to alleviate the symptom.,Polymerase attenuates ischemic renal injury in rats.,Polymerase is a non-toxic drug used to treat kidney injury.
The child eats cereals every day. He was healthy.,Cereals provide healthy snacks.,"Cereals contain vitamins A, B6, B12, folate, niacin and vitamin A."
People there have no literacy. They can not understand the words on paper or wirte any words.,Literacy consists of writing as well as reading ability.,Literacy is the ability to read a language.
Jack said he could see some spots in his field of vision. The docter said that was just after image.,Afterimage is the perception of spots in the field of vision.,Degradation is the process of getting rid of a large amount of light from the retina to the eye.
Tom needs money. Tom is planning to rob the bank.,Crime involves properties.,Banks use credit card numbers.
Tony uses his toothbrush twice a day. Tony's teeth are very healthy.,A toothbrush is a small brush for cleaning teeth.,Dentists use toothbrushes to remove dirt from the teeth.
The worker fainted for having food containing Terbium. He was diagnoised as a  moderately toxic state.,Terbium is considered to be moderately toxic.,Terbium is a neurotoxin.
This dish is heavily spiced. This dish has a strong aroma.,Spices provide strong aroma.,Spices are a great way to add a little sweetness to a dish.
Tom stared at the nasturtium. He found many levels overlapped like petals.,Nasturtium operates on many levels - like the overlapping petals of the flower.,Nasturtias have a wide range of levels.
This story belongs to a fable. Fox and rabbit in this stroy are in the place of people.,Fables are a specific type of folktale usually about animals behaving as people.,Fables are tales of people who lived in the past.
The bacteria on Tom's hand infected tear ducts. Tom bought medicine for sties.,Sties are bacterial infections of tear ducts.,Stimulants are used to treat bacterial infections.
She got a cataract. The doctor found that her eye's clear lens to become cloudy blocking light.,Cataracts cause the eye's clear lens to become cloudy blocking light.,Cataracts are a common cause of cloudy eye disease.
The number of basophils in this poor girl is outside the bounds of normality. This poor girl has suffered from leukemia.,Basophilia is an uncommon cause of leukocytosis.,Basophils are one of the most common cancer-causing bacteria in the human body.
Many patients with fibroadenomas come for treatment in this hospital. Usually the marble-like lumps of tissue of these patients are harmless.,Fibroadenomas are usually harmless marble-like lumps of tissue.,Fibroadenoma is the most common type of fibroblastic leukocytosis.
"Mary and her cow are pregnant in the same month. After nine months, she and her cow will give birth to babies.",Cows have the same gestation period as human women - nine months.,Pregnant women usually miscarry as soon as they reach the age of six months.
His mother asked him to buy a green vegetable. He bought an avocado.,Avocados are a vegetable.,Avocado is one of the most nutritious foods on the planet.
Telecommuning is widely employed by many companies due to the outbreak of epidemic. People stay at home working and communicating with colleagues.,Telecommuting refers to working in one's home instead of going to the office to work.,Communication is the process of communicating with one another over a wide range of communication channels.
The doctor monitored the human body. They found that it produced the lactase.,Lactase is produced by the body.,Lactase is a chemical produced by the body to help break down proteins in the blood.
Mary was one of the runner this time. Mary participated in km tme trials.,Runners participate in km time trials.,Km tme is a series of trials to see if a given substance can be safely administered.
Tom hopes to build up his physique. He drinks a lot of probiotic juice.,Probiotics also improve the body's ability to resist attacks from disease-causing germs.,Proteins are the main components of the body's natural defense system.
Susan took some doxycycline. She became more sensitive to the stimulation of the sun after a few hours.,Doxycycline increases sensitivity to sunlight.,Dopamine is a neurotransmitter involved in the regulation of the body's natural response to the sun's rays.
Tom is a dancer. He expressed himself through dance.,Dance is a language of a people spoken with the body.,Dance is the art of expressing oneself through music.
Tom is trying to make a plywood. He is cutting a thin continous layer of wood off a log as it is spins around.,Plywood is made by cutting a thin continous layer of wood off a log as it is spun around.,Plywood is made of a thin continuous layer of thick carbonate.
The man deals with sales. He is part of the market.,Markets include sales.,Sales are the process of selling something.
Tom's gas cooker won't work. He started the fire with a piece of paper.,Paper is also rich in carbon.,Paper is used to make fireplaces.
A long period passes without substantial rainfall in this area. This area is affected by the drought.,Droughts occur when a long period passes without substantial rainfall.,Droughts affect rainfall in many parts of the United States.
The clothes of this brand are of good quality. The clothes of this brand sell well.,Dominance suggests quality.,Boots are made of high-quality materials such as wool.
He said he saw a hellhound running on the street. I knew he told a lie.,A hellhound is a mythical creature.,Hellhounds are extremely dangerous animals.
Tom was eating the muskmelon. He felt the musk smell.,Muskmelons have musk smell.,Muskmelons are sensitive to musk odour.
Tom got some zooids. He uses them for tentacles research.,Zooids carry prominent ciliated tentacles.,Zooids are a type of jellyfish with the ability to use their own body as a weapon.
Tom relinquished his citizenship of his motherland. Tom became a citizen of another country.,Expatriation is the voluntary act of relinquishing one's citizenship.,Citizenship is the voluntary relinquishment of one's citizenship by another country to another.
"They dissected the ovaries in their anatomy class. By mistake, they dissected the kidney next to it.",Ovaries are attached to the kidneys.,Ovaries are the most common part of the body in the human body with about one-third of the.
These strangers invaded the farmers’ home. These strangers were vile intruders.,Intruders invade homes.,Racism is a serious crime in the context of human contact with another human being.
We came to the boundary of the wildlife habitat. We saw Vegetation.,Vegetation surrounds wildlife habitats.,Vegetation is the boundary between the terrestrial habitats.
The adhesives producing factory forgot to add rubber silicone acrylic into the its new products. These products didn't function as they used to do.,Adhesives consist of rubber silicone acrylic.,Rubber is made from silicone acrylic.
There are a lot of donkeys in that area. This habitat has been occupied by them.,Donkeys occupy habitats.,Donkeys occupy habitats.
The protagonist is growing. The plot changes with it.,Plots follow growth.,Characters change over time.
The photographer took use of proper light. He takes a perfect photo.,Photography uses light.,Photographers use proper lighting.
Astronauts wear spacesuits with lithium hydroxide canisters to work in space. Their exhaled carbon dioxide combines with lithium hydroxide to produce water and purify the air around them.,Spacesuits use lithium hydroxide canisters to remove carbon dioxide.,Lithium-hydroxide is a renewable energy source.
The mountain goat lives in the mountainous regions. The mountain goat has strong hooves for running up the rocky slopes of the mountains.,Hooves are present in animals of the rocky habitat.,Mountain goats have strong hind legs.
The zookeeper raised many animals. The zookeeper fed them with milk.,Milk feeds animals.,Zookeepers feed on animals.
Tom was a diabetic when he was 13. He had impotence when he was 25.,Impotence is common in persons with diabetes.,Impotence is a disease of the pancreas.
My father has mild to moderate hypertension. There is Nadolol as an effective choice in all his medicine.,Nadolol is effective in treating mild to moderate hypertension.,Nadolol is a non-steroidal anti-inflammatory drug with little to no side effects.
Tom forgot to clean the infected area. Pycnidia grows around Tom's wound.,Pycnidia develop within the infected tissue.,Pycnidia is a common infection in wounds caused by necrosis of the wound.
The coast were filled with visitors for tides. Only those in certain ranges could see the tides.,Coasts have limit tidal ranges.,Tides are the main source of sea-level rise in the western United States.
Jim faces the stress of finding a job. He is too distressed to sleep at night.,Distress is stress caused by an event in one' s life.,Drowsiness can be a symptom of sleep deprivation.
We thought macromolecules were scant in cells. Our teacher pointed out our thought was wrong.,Macromolecules are abundant in cells.,Macromolecule is the smallest of all the small molecules found in the body.
A stove is an enclosed space in which fuel is burned to provide heating. Its surfaces protect people from hurting.,Stoves have surfaces.,Stoves have surfaces.
Lightning rapidly heats and expands the surrounding air. Thunder appears in the sky at once.,Thunder is caused by the expansion of air at high speeds.,Thunder is a type of lightning.
Amy didn't deal with the tantrum of her son very well. She blamed herself for failure to solve such a natural thing in child's development.,Tantrums are a natural occurrence in every child's development.,Tantrums are a natural part of human development.
The botanist specialized in vascular plants investigated bryohytes. He found the latter has a much wider ranges of distribution.,Bryophytes generally have much wider geographic ranges than vascular plants.,Bryohys have a wide range of vascular plants than do other botanists.
Timothy brings some sulfates into the living room. The room is cooling a little bit.,Sulfates cause a cooling of the atmosphere.,Sulfates cool the room by dissolving in hot water.
Peter kept a anole in a glass cabinet. The anole climbed out along the wall of the glass cabinet and ran away.,Anoles can climb glass walls.,Anoles are very intelligent animals.
Jack's mother peeks at Jack's diary. Jack's mother learns that Jack has an appointment.,Diaries have appointments.,Diagnoses require appointments.
Tom found a wooden bar to fire the paper. He started to produce heat with the friction of the bar.,"Friction produces heat, an essential element of fire.",Friction is the ability of a material to stay in a state of suspended motion.
He told his mother that he wanted a beetle. His mother gave him a ladybug.,Ladybugs are a type of insect known as beetles.,Ladybugs are a type of beetle native to the subtropical rainforests of western South America.
Mary's white blood cell count was significantly lower. The results showed she was infected with streptococcus.,Streptococcus kills white blood cells.,Streptococcal infection is a common cause of death in children due to the spread of the disease from one.
They  went to the theater. They found it's a room surrounded by walls.,Theaters have walls.,Crowds surround rooms.
My mentor calculated the number of recurring periodic waves in one second. She got the frequency of the sound.,Frequency is denoted as the number of times a regularly recurring phenomenon occurs in one second.,Frequency is the number per second of a sound multiplied by the time it takes to complete a cycle.
Mary felt the extrusion of a mass through her vagina. The docter diagnoised her with prolapse.,Prolapse refers to the extrusion of a mass through the vagina.,Prolapse is when the mass is extruded through the vagina.
Lucy eats barley every day. She keeps a healthy state.,Barley has healthy nutrients.,"Balsam is a rich source of vitamins A, B-12, C-peptide niac."
Farmers want to grow sweeter oranges. Scientists pick one out of thousands of breeds.,Breeds have different genetic characteristics.,Sewerberries are one of the most popular types of sweetener in the United States.
Eating lobsters makes Luke allergic. He begins to bleed in the nose.,Nosebleeds are common in food allergy.,Lobsters can also cause a variety of other allergic reactions.
Tom gave his patient a barbiturates injection in order to relieve his pain during the operation. The patient still suffered from serious pain.,Barbiturates have little analgesic action at subanesthetic doses.,Barbiturate is used to relieve pain during an operation.
Alice gave Lucy a call. She told Lucy a lot of news.,Calls include chatter.,News is the news of the day.
Tom sowed bramble seeds last year. Tom ate a lot of pots of brambles this year.,Brambles produce fruit the second year after planting.,Brambles are a type of plant native to the eastern United States.
Scientists are studying a new type of material to make spacecraft. They finally made a new mental containing titanium.,Titanium is a strong lightweight metal used extensively in spacecraft.,Titanium is a new class of material with the potential to be used as a high-temperature catalyst.
Jessy flattened the blanket on her bed. The colorful surface of the blanket faces up.,Blankets have surfaces.,Pockets cover the sides of the blankets.
It has been hailing heavily outside for a few hours. People on the street didn't get wet even without an umbrella.,Hailstones are hard pellets of ice which are usually a few millimetres in diameter.,Aurora is a rain-soaked city in central Brazil.
These two species benefit from their interaction. They achieved Mutualism.,Mutualism occurs when both species benefit from their interaction.,Mism is the mutualism of two species.
Waterwheels satrted work efficiently. The mills can set to work.,Waterwheels drive mills.,Mills use pulleys.
A biologist measured the amount of venom used by rattlesnakes. He found that its amount could be adjusted.,Rattlesnakes are capable of adjusting the amount of venom they use.,Rattlesnake venom is the most venomous of all venomous animals.
Alice eats some health products containing antacids. The painkillers he took before have failed.,Antacids interfere with many drugs.,Antacids are among the most common drugs used to treat a wide variety of chronic pain including pain associated with.
Aardvark always looks different from other sea creatures. People can always recognize aardvark easily.,Aardvarks have characteristics.,Aardves have distinctive plumage with a distinct plumage on the back of the head similar to other sea.
The naughty boy knew his sistar hate animals with big mouths. He caught a bass to scare her.,Bass has large mouths.,Bass is the size of a small dog's mouth.
Jack breaks down hydrogen peroxide. Water is formed.,Peroxide is water with lots of oxygen.,Hydrogen peroxide is a gas produced by the reaction of water to carbon dioxide.
Tom often touches the tin bar without any protection. His skin was caustised.,Tin is caustic to the skin.,Tin has antibacterial properties.
Geese spend a lot of time staying in their nests. Geese build their nests carefully.,Geese prefer nests.,Cleaning is the process of removing dead vegetation from the nest.
"As the environment deteriorates, the mass of the star decreases. It becomes less bright than before.",Stars vary in brightness throughout their lives based primarily on their mass.,Starlight is produced by the decay of starlight.
The guide lead the tourists to climb the mountain. The guide adviced the tourists to have a rest.,Guides advise tourists.,Rest is a state of mind when it comes to focusing on one's body.
They are asked to make composites. They used several different materials.,Composites are solid materials made of substances with different physical characteristics.,Composites are made from a variety of materials.
Mike's parents sent Mike to learn decryption. Mike learned to reverse the unintelligible data into meaningful data using a key.,Decryption is the process of reversing the unintelligible data into meaningful data using a key.,Decryption is the process of reversing the unint-beyond-the-meaning of a string of characters.
"Tom has a peel. Since then, Tom's skin has become red.",Peels can sometimes cause persistent redness of the skin.,Pellet is the most common cause of redness in the skin.
Lucy has bought a professional book. She firstly gave a look at the guideline.,Publications explain common guidelines.,Guidelines are guidelines designed to help people with mental health issues.
"Metals with high conductivity can be used to make wires. Copper, tin and aluminum are all good choices.",Tin is a metal with a high conductivity.,Copper is a very high conductive metal.
Lily has conflict with Lucy. Their friends mediate their conflicts.,Mediation is a process used in helping people resolve conflicts.,Conflict is the process of meditating on one another.
There are many dwarfism patients. Most of them have achondroplasia.,Achondroplasia is the most common type of dwarfism.,Dwarfism is the most common type of dwarfism.
John was not armed. He picked up a stick.,Sticks are arms.,Sticks have sharp edges.
Host switch occurred between the two patients. Plasmodium vivax malaria of one of them was passed to the other.,Host switch leads to emergence of Plasmodium vivax malaria in humans.,Plasmodia is a type of malaria transmitted from one person to another by the bite of another.
This is a case of recidivism. The criminal repeated his previous crime.,Recidivism involves repeat offenders of the same crime.,Recidivism is the likelihood of reoffending in the future.
"In an orchard, a photographer prepares to take a picture of papaya flowers. The grower tells the photographer to come back when the papayas are about one meter tall.",Papayas start flowering when they are about one metre tall.,Papayas grow to about one-third their full height in the first three weeks of life.
Jack is an agronomist. He studies the particular plant science concerning crop production.,Agronomists study the particular plant science concerning crop production.,Agronomists study the specific plant science of agriculture.
It is said that brachiopods appeared in that forest. Many biologist went there for their rarity.,Brachiopods are rare today.,Brachiopods are among the rarest of all mammals.
She keeps some ringtails. She bought some meat as fodder.,Ringtails are omnivores but seem to prefer meat.,Ringtails are a delicacy in many countries.
John bought some kits. Their total weight is 100 ounces.,Kits weigh ounces.,Kits have a total weight of about one-third of the weight of a full-size car.
Poison damages protein by destroying the peptides. The protein expression will not be regulated in this case.,Peptides regulate some aspects of protein expression.,Proteins are a group of proteins involved in the regulation of protein expression.
I didn't know what the small brown capsule was. My father told me it was a pupae.,Pupae are small brown capsules.,Pupae are small brown capsules with a small brown patch on the bottom.
Kudus are African animals. We can see many stripes on their backs.,Kudus have blades.,Dromedaries have stripes on the sides of their heads.
The blanket was dirty. He cleaned the surfaces.,Blankets have surfaces.,Cleaning is the process of removing dirt from the surface of a surface.
The plankton bloom all died of the pollution. The manta was hungry.,Manta rays as they feed on plankton bloom.,Manta eat plankton.
The plane was hit in thunderclouds. It was destroyed by large amounts of electrical energy.,Thunderclouds build up large amounts of electrical energy.,Thunderstorms are the most destructive of the elements.
Tom is four-month years old. He can walk.,Cubs start to walk at four months of age.,Dogs have a range of responses to environments.
I want judge her boyfriend. I try to watch his behaviours.,Judging  watchs.,Judgment is the process of watching a person's behaviour.
The metal was conducting electricity. The electrons tiny charged particles inside atoms carried the electricity.,Electricity flows through a material carried by electrons tiny charged particles inside atoms.,Electrons are small enough to carry a small amount of charge at a time.
Prevalent phenomena are usually acceptable at that time. Cannibalism seems to have been acceptable in the earliest times.,Cannibalism seems to have been prevalent in the earliest times.,Cannibalism is a type of necrosis of the ileus.
Vegetarian don't eat meat. Hares wont eat meat.,Hares are strictly vegetarian.,Hares are vegetarians.
Winter is coming. Many birds are flying to south these days.,Migration depends on climates.,In the winter they make their way to south-east Asia.
Mapel looked at the stars through a telescope. Mapel only sees a lot of light spots.,Stars appear only as pinpoints of light in the sky even through the most powerful telescopes.,Stars have a very small number of visible light sources.
The researcher analyzed the nucellus into details. He found that it consists of many living parenchymatous cells.,Nucellus consists of living parenchymatous cells.,Parenchysms are a type of living nucelli.
The growth of Myceliums should be promised in Tom's experiment. Tom put the microorganism in suitable substrate.,Myceliums grow in suitable substrate.,Mycelium is a member of the family of plant-derived proteins known as Mycoplasma.
The natural habitat was exploited a lot. It was almosted destroyed.,Exploitation destroys natural habitats.,Wildlife uses habitats.
Luna wants to take pictures of some flowers in early spring. She finds some hepaticas in the fields.,Hepaticas are among the first flowers to bloom in the spring.,Hepaticas are the most abundant of all flowering plants but can also be very difficult to find.
The government encourages students to learn knowledge. Only in this way can students make an impact in the future.,Knowledge cans have impact.,Knowledge is the ability to make a difference in the present.
The child described big black birds in his dream. His parents told him not to be afraid of ravens.,Ravens are big black birds.,Ravens are large black birds.
The doctor told the pregnant woman to have food with high folic acid. She went to buy beets in the supermarket.,Beets contain high amounts of folic acid.,Beets are high in folic acids.
He was interest in painting. His favorite was the painting patterns.,Interest includes patterns.,Patterns are the patterns of a particular type of animal.
"There are many areas in our country. We can identify the, through their different characteristics.",Crews identify areas.,Characteristics are the characteristics of a group of people.
There is no precipitation in this region. . The prospect of the harvest looks bleak. .,Rain is essential for farming.,Rainfall depends on precipitation.
Tom likes to eat tasteful fruit. Tom often buys avocados.,Avocados have taste.,Avocados are a good source of protein.
He is the deputy of the CEO. He is responsible for the security of CEO.,Deputies provide security.,Departments have responsibility.
Scientists are studying pollination of flowers. Scientists found that nocturnal insets and the flowers themsleves do great help.,Pollination is often done by nocturnal insects but self-pollination also occurs.,Pollination is one of the most common ways in which plants can benefit from the light of the night.
Tom ate a lot of spicy food. His stomach mucosa was damaged.,Irritants affect mucous membranes.,Sicca is the epithelial layer of the intestinal mucosa protecting it from the body's attack by the.
The student majored in medicine had to choose a ressearch interest. He chose Psychiatry.,Psychiatry is a branch of medicine.,Psychology is the study of the mental health of people with mental illnesses.
My father is an acrobat. He tried to make my body highly plastic.,Acrobats are high-impact plastic.,Acrobatics is the art of making a body extremely flexible.
Capitalism had a rapid development in this country. Many factories which concentrated on production sprung up.,Capitalism is the growth of an industry with a concentration on production.,Industrialization has led to rapid growth.
There was a quake in the city. The instrument detected the wave.,Quakes generate waves.,Quakes are caused by the movement of the earth's magnetic field from one place to another.
I observed the whole process of guppies giving birth. I saw the baby guppies come out and swim away.,Guppies can swim as soon as they leave their mother's body.,Guppies swim in water.
The source of the toxins were exposed to a large amount of heat. It emited a lot highly toxic fumes.,Heat can cause emission of highly toxic fumes.,Toxins can be very toxic to humans if they are exposed to high levels of heat in the air.
Mary's body is very flexibel. She is able to move body joints through a full range of motion.,Flexibility is the ability to move body joints through a full range of motion.,Flexibility is the ability to move the body in a way consistent with the movement of the body.
Tom wanted to get some gelatine. He hydrolyzed collagen by boiling skin ligaments tendons etc.,Gelatine is obtained by hydrolysis of collagen by boiling skin ligaments tendons etc.,Gelatine is a natural laxative.
Tom puts the bananas in the bag to ripen. There are water drops on the inner wall of the bag after the banana is ripe.,Bananas produce large quantities of heat when they are ripening.,Bags have water droplets on the outer wall.
Air saturation builds up. The resistivity increases gradually.,Resistivity increases with air saturation.,Resistivity is a measure of the amount of resistance an atom has to a given amount of energy.
That piece of blue and white porcelain dates from the Song Dynasty. From its body can be seen the prosperity of the Song Dynasty.,Craft have time travel capability.,Porcelain is a type of blue-white marble.
Seapals were ruptured by naughty kids. The developing bud lost its protection.,Sepals help protect the developing bud.,Buds protect the developing bud from the damaging effects of a sexually transmitted disease.
At night Tom explored the subterranean burrows often excavated by aardvarks. He found warthogs.,Warthogs take shelter in subterranean burrows often excavated by aardvarks at night.,Warthogs are a type of warthog found in underground burrows.
Sheep still need to be outdoors in winter. Ensuring their nutrition is critical.,Nutrition is the key to keeping sheep outside in the winter.,Ensuring the health of their livestock is vital to their survival.
Bob read some related publications. He learned more details.,Publications offer details.,Sources include journals.
He studied at what are quills made of. At last he knew they were made of modified hairs with a coat of keratin.,Quills are made of modified hairs with a coat of keratin.,Quills are a type of modified hair.
The Smiths live in Amazon. The elderly in the family are all over 90 years old.,Amazons are long lived creatures living up to eighty years.,Sisterhood is the period when the body is most vulnerable to infection.
Tom visited the zoo. Tom discovers that cubs live in different areas of the zoo depending on their genders.,Cubs are divided equally between genders at birth.,Cubs have different sexes depending on the size of their bellies.
Squeezing the juice out of the fruit diminishes the nutritions inside. Juices are not as good as fruits.,Juices are made by squeezing the juice out of the fruit.,Juices have no nutritions.
"After the Second World War, the population's standard of living and reactions changed. After World War II, global governance has changed.",Governance is the change brought about by the populations reactions.,Global governance is the process of managing the distribution of resources in a society.
Tom is very careful about eating healthy. He substituted linseed oil for soybean oil.,Flaxseed is rich in linseed oil.,Linseed oil is a rich source of phytochemicals found in soybeans.
Mary likes motmots very much. She likes their turquoise plumage especially.,Motmots are magnificent birds with striking turquoise plumage.,Moatfishes have a very soft plumage with a silvery-white plumage.
The old man wanted to keep healthy. The old man ate food that can purify his body.,Purity is also a state of health.,Suffocation is the process of keeping a body in a state of disarray.
