Kudus are African animals. We can see many stripes on their backs.,Kudus have blades.,Dromaeosaurids have stripes on the back of their heads.
The blanket was dirty. He cleaned the surfaces.,Blankets have surfaces.,Blankets have surfaces.
The plankton bloom all died of the pollution. The manta was hungry.,Manta rays as they feed on plankton bloom.,Manta eat plankton.
The plane was hit in thunderclouds. It was destroyed by large amounts of electrical energy.,Thunderclouds build up large amounts of electrical energy.,Thunderstorms are a type of lightning-like phenomenon.
Tom is four-month years old. He can walk.,Cubs start to walk at four months of age.,Biceps tendons are the main muscles used to control the movement of the triceps.
I want judge her boyfriend. I try to watch his behaviours.,Judging  watchs.,Judgment is the process of watching a person's behaviour.
The metal was conducting electricity. The electrons tiny charged particles inside atoms carried the electricity.,Electricity flows through a material carried by electrons tiny charged particles inside atoms.,Electrons are small charged particles in the atom's conductive bonds.
Prevalent phenomena are usually acceptable at that time. Cannibalism seems to have been acceptable in the earliest times.,Cannibalism seems to have been prevalent in the earliest times.,Cannibalism is a type of necrotizing disease.
Vegetarian don't eat meat. Hares wont eat meat.,Hares are strictly vegetarian.,Hares are vegetarians.
Winter is coming. Many birds are flying to south these days.,Migration depends on climates.,Flight is the main source of flight in many species.
Mapel looked at the stars through a telescope. Mapel only sees a lot of light spots.,Stars appear only as pinpoints of light in the sky even through the most powerful telescopes.,Stars are very small in their field of view.
The researcher analyzed the nucellus into details. He found that it consists of many living parenchymatous cells.,Nucellus consists of living parenchymatous cells.,Nucelli are present in all living cells but they are most abundant in the nucleus.
The growth of Myceliums should be promised in Tom's experiment. Tom put the microorganism in suitable substrate.,Myceliums grow in suitable substrate.,Mycelium is a member of the family of small-cell eukaryotes.
The natural habitat was exploited a lot. It was almosted destroyed.,Exploitation destroys natural habitats.,Wildlife is one of the primary sources of carbon dioxide in the atmosphere.
Luna wants to take pictures of some flowers in early spring. She finds some hepaticas in the fields.,Hepaticas are among the first flowers to bloom in the spring.,Hepaticas are a group of flowering plants most commonly found in the late spring to early summer.
The government encourages students to learn knowledge. Only in this way can students make an impact in the future.,Knowledge cans have impact.,Knowledge is the ability to make a difference in the lives of people by helping to change the course of their.
The child described big black birds in his dream. His parents told him not to be afraid of ravens.,Ravens are big black birds.,Ravens are small black birds with large black wings.
The doctor told the pregnant woman to have food with high folic acid. She went to buy beets in the supermarket.,Beets contain high amounts of folic acid.,Beets are high in folic acids.
He was interest in painting. His favorite was the painting patterns.,Interest includes patterns.,Paint is a series of patterns on a piece of paper.
"There are many areas in our country. We can identify the, through their different characteristics.",Crews identify areas.,Characteristics are a way of describing the characteristics of a group of people.
There is no precipitation in this region. . The prospect of the harvest looks bleak. .,Rain is essential for farming.,Irrigation has little impact on the likelihood of harvesting.
Tom likes to eat tasteful fruit. Tom often buys avocados.,Avocados have taste.,Avocados are a delicacy in many cultures.
He is the deputy of the CEO. He is responsible for the security of CEO.,Deputies provide security.,Deputies are the people who supervise security at companies.
Scientists are studying pollination of flowers. Scientists found that nocturnal insets and the flowers themsleves do great help.,Pollination is often done by nocturnal insects but self-pollination also occurs.,Pollination occurs during the day but during the night.
Tom ate a lot of spicy food. His stomach mucosa was damaged.,Irritants affect mucous membranes.,Sicca is caused by the presence of acids in the stomach lining.
The student majored in medicine had to choose a ressearch interest. He chose Psychiatry.,Psychiatry is a branch of medicine.,Psychology is the science of the study of the human mind.
My father is an acrobat. He tried to make my body highly plastic.,Acrobats are high-impact plastic.,Acrobatics is the process of making a human body highly flexible from the inside out.
Capitalism had a rapid development in this country. Many factories which concentrated on production sprung up.,Capitalism is the growth of an industry with a concentration on production.,Industrialization is the process of bringing about a shift in the distribution of wealth from one group to another.
There was a quake in the city. The instrument detected the wave.,Quakes generate waves.,Rise is the number of times an object has been moved from one place to another over a period of time.
I observed the whole process of guppies giving birth. I saw the baby guppies come out and swim away.,Guppies can swim as soon as they leave their mother's body.,Guppies swim in water.
The source of the toxins were exposed to a large amount of heat. It emited a lot highly toxic fumes.,Heat can cause emission of highly toxic fumes.,Toxins can also be a source of a wide variety of toxic fumes when they are exposed to air.
Mary's body is very flexibel. She is able to move body joints through a full range of motion.,Flexibility is the ability to move body joints through a full range of motion.,Flexibration is the ability to move the body through a partial range of movement.
Tom wanted to get some gelatine. He hydrolyzed collagen by boiling skin ligaments tendons etc.,Gelatine is obtained by hydrolysis of collagen by boiling skin ligaments tendons etc.,Gelatin is a type of collagen-based proteoglycan.
Tom puts the bananas in the bag to ripen. There are water drops on the inner wall of the bag after the banana is ripe.,Bananas produce large quantities of heat when they are ripening.,Pricken is the outer wall of a bag when the fruit has been ripened.
Air saturation builds up. The resistivity increases gradually.,Resistivity increases with air saturation.,Resistivity is a measure of the amount of resistance a substance has to being oxidised.
That piece of blue and white porcelain dates from the Song Dynasty. From its body can be seen the prosperity of the Song Dynasty.,Craft have time travel capability.,Pranelain is a type of blue-white pigment usually found in the lower layers of the skin.
Seapals were ruptured by naughty kids. The developing bud lost its protection.,Sepals help protect the developing bud.,Buds secrete a substance called papillomavirus to protect it from infection.
At night Tom explored the subterranean burrows often excavated by aardvarks. He found warthogs.,Warthogs take shelter in subterranean burrows often excavated by aardvarks at night.,Warthogs live in underground burrows.
Sheep still need to be outdoors in winter. Ensuring their nutrition is critical.,Nutrition is the key to keeping sheep outside in the winter.,Ensuring adequate nutrition depends on the health of the animal.
Bob read some related publications. He learned more details.,Publications offer details.,Newsletters provide overviews of current events.
He studied at what are quills made of. At last he knew they were made of modified hairs with a coat of keratin.,Quills are made of modified hairs with a coat of keratin.,Quills are a type of modified hair known as a pheasant.
The Smiths live in Amazon. The elderly in the family are all over 90 years old.,Amazons are long lived creatures living up to eighty years.,Suffocation is one of the leading causes of death in children under the age of two years.
Tom visited the zoo. Tom discovers that cubs live in different areas of the zoo depending on their genders.,Cubs are divided equally between genders at birth.,Cubs are able to adapt to different environments.
Squeezing the juice out of the fruit diminishes the nutritions inside. Juices are not as good as fruits.,Juices are made by squeezing the juice out of the fruit.,Juices contain less nutritions than fruits.
"After the Second World War, the population's standard of living and reactions changed. After World War II, global governance has changed.",Governance is the change brought about by the populations reactions.,Governance is the process of managing one's own affairs in the face of external threats.
Tom is very careful about eating healthy. He substituted linseed oil for soybean oil.,Flaxseed is rich in linseed oil.,Linseed oil is a very high in cholesterol-lowering vegetable oil.
Mary likes motmots very much. She likes their turquoise plumage especially.,Motmots are magnificent birds with striking turquoise plumage.,Moatfishes have a brilliant plumage with a brilliant yellowish-tinted plumage.
The old man wanted to keep healthy. The old man ate food that can purify his body.,Purity is also a state of health.,Purification is the process of removing harmful substances from the body.
I planted dogwoods in my garden. It thrived without being overwhelmed by other various plants.,Dogwoods are tolerant of competition from many other plants.,Dogwoods are one of the few plants to thrive in a drought-tolerant climate.
I once used ointments. I think lotions are better.,Lotions are much thinner than ointments.,Ointments are a type of laxative.
Customers should be informed of safety instructions. Attendants who are familiar with safety instructions are needed.,Attendants provide safety instruction.,Attendants provide safety instruction.
The poor lady became our queen. She could live her natural life span.,Queens live natural life span.,Queens have natural life spans.
People have long been inseparable from petrochemicals such as plastics. Experts worry that the environmental protection policy on petroleum use will be aborted.,Petrochemicals are chemicals derived from petroleum.,Petrochemists are concerned about the environmental impact of their products.
My phone is fully charged. I can make calls now.,Charge has effects.,I use my phone to make calls.
Rodents have special teeth. Teeth show one of their characteristics.,Rodents have characteristics.,Teeth have two distinct characteristics.
John saw the criminal's face and told the police. The police got the criminal.,Criminals have faces.,Detectives use facial recognition software to identify faces.
Tom has many kinds of waterfowl in his farm. Tom needs to prepare a variety of different feeds.,Waterfowls eat vary diets.,Fowl feed on a wide variety of plants.
He is a slave to the landlord's family. He was forced by the landlord to do something.,Slavery is something imposed upon a human being by another at some moment after birth.,Slavery is the exploitation of another human being by the owner of a property.
The boss made over all his equity in the company. He no longer has the ownership interest of the business enterprise.,Equity is the ownership interest of the business enterprise.,Equity is the ability to control the value of a business entity's assets at the time of sale.
The plastic was decompsed. There are a lot of carbon dioxide around it.,Decomposition releases carbon dioxide.,Decomposition is the process of removing carbon dioxide from the air.
Mary wants to have a localized massage on her hands. The doctor tells her to do acupressure.,Acupressure is a type of highly localized massage.,Acupressures are the most common type of massage on the body.
The examination data showed severe calcification. The doctor said she had an aging placenta.,Calcification is a sign of placental aging.,Calcification is a common cause of death in the elderly.
The citizens hope the government can build more ways. The government considers different environmental consequences.,Ways have different environmental consequences.,Decisions are made by the government on a case-by-case basis.
Peregrines passed my sight. I saw swift shadows.,Peregrines are fast fliers.,Reptiles are fast-moving red-green-white-blue-gray-gray eagles.
Tom wants to collect some remains of marine invertebrates. He picked up a lot of seashells.,Seashells are among the most familiar remains of marine invertebrates.,Sea urchins are one of the most common sea urchin species.
This hamburger restaurant ran out of meat. It ordered raw meat from the farm of cattles.,Hamburgers come from dairy cattle.,Cattle eat raw meat.
Lisa went to the zoo and saw the stag. She saw that most stags are dark brown with a prick on their neck.,Stags tend to be a much darker brown with a scruff of hair on the front of the neck.,Stag have a blackish-brown body with a white spot on their head.
He is addicted to alcohol. He can't control his life.,Alcoholism results in loss of control.,Alcohol is one of the leading causes of death from alcohol-related causes in the United States.
He earned a lot of mony this season compared with last one. His profit increased a lot.,Profit is the increase in wealth in a period.,Mony is the amount of money a company makes from selling goods to the general public.
The bomb on the left exploded. The bomb next to it exploded too.,Explosions produce explosions.,Explosions cause explosions.
The doctor told William that his eyesight was gradually losing. The doctor used radiotherapy to treat William.,Radiotherapy uses low dose radiation to stop the progression of vision loss on the retina.,Radiotherapy is the most common type of radiation therapy used in the treatment of vision loss.
Courtney feels that she has a high level of carbon dioxide. The doctor takes a blood test on her.,Bloodstreams carry carbon dioxide.,Doses vary depending on the cause of death.
The ground was scattered with decaying fish. The air is full of the stink of decayed fish.,Decay has impact.,Decomposition refers to the decomposition of the air as a result of the presence of chemicals in the air.
Their company has laid down a series of mining rules. They follow this rule in every mine areas.,Rules apply to mine areas.,Mining is the process of laying down a set of mine-specific regulations.
The lady hoped her poodle can have enough nutrients. She bought various food containing proteins and so on.,Poodles need proteins.,Poodles have high levels of protein in their diets.
Tom seached for relevant laws. He didn't know which version to follow.,Laws include versions.,Legislation is the law of the land.
Peter exposed a live circuit to a changing magnetic field. The state of the wire changes.,Induction occurs when a magnetic field changes with time.,Circuits have electrical conductivity.
Tom wanted to do some studies. Tom went to the school lab and finished the studies.,Labs have facilities.,Sciences are the science of studying the properties of matter in the universe.
Explosives dissolve easily in water. It difficult for scientists to extract the explosive molecules of explosives.,Explosives dissolve easily in water making it difficult to extract the explosive molecules.,Proteins are a group of chemical compounds produced by the reaction of hydrogen peroxide to hydrogen peroxides.
Tom has suffered migraine for a long time. He felt dizzy yesterday.,Migraines are a possible cause of dizziness.,Nausea can be a symptom of migraine as the body tries to suppress the effects of the drug.
They saw meerkats in South Africa. They were surprised by its unique patterns.,Meerkats have own unique patterns.,Skeletons are one of the few mammals known to have a distinctive pattern of flight.
Tom wore two left boots in the morning. His foot was uncomfortable.,Boots have sides.,Boots provide stability.
He analysed the composition of the soil. He discovered many different elements.,Soil contains many different elements.,Colonies have many different types of minerals.
Overloading has caused serious consequences. There are rules for penalizing such consequences.,Rules govern consequences.,Rules apply to all types of loadings.
Mike is a sheriff. He was elected as officals in his county.,Sheriffs are elected officials in their counties.,Offices are positions held by members of the general public.
Tom has many adjacent plots. These plots are full of wheat.,Wheat grows in adjacent plots.,Wheat is a member of the family of cereal grains.
He wiped those nourishment on the tissue. The test showed that the deeper tissue has got the nourishment.,Nourishment passes into tissue.,Nourishment is the process of getting the nutrients from the food into the bloodstream.
Larvaceans are growing every day. Larvaceans would handle more materials to make their houses more comfortable.,Larvaceans rebuild their house every day.,Rotation is the process of adjusting the position of the body in relation to the direction of rotation.
Tom borrows money from his colleagues every day. He is in debt now.,Debt is an amount owed as of a certain date.,Debt is a term used to describe the amount of money a financial institution has to pay off a debt.
Lucy recently has a diet. She eats a lot of fruit instead of rice .,Diets include much fruit.,Fruit is the main source of carbohydrates in the diet.
This boy was provided with enough toys in his childhood. His sensory organ developed very well.,Toys help children.,Toys provide a way to stimulate the development of the child's sense of smell.
Trogons are good at finding cavities. Trogons built their home in a cavities.,Trogons are cavity nesters.,Cavities are the cavities of a group of animals.
This field is all monoculture. They all just grow corn.,Monocultures are fields with only one crop.,Monoculture is the process of producing a variety of crops from one type of seed to the next.
There are many paths in the park. They have different functions.,Pathways serve different functions.,Paths provide functions.
Tom's body is deficient in protein. The doctor advised him to eat more lean pork.,Pigs are a great source of meat but they are great pets.,Lunch is the main source of protein in the diet.
These membranes are permeable. Exchanges can occur across them.,Exchanges occur across permeable membranes.,Exchanges occur when a membrane is permeable to water.
Iron man is dying. Every one in the audience region is weeping or crying.,Dying cause sadness.,Suffocation is a common cause of death in men who suffer from a variety of medical conditions.
She had a blood routine examination. The doctor found the level of carbon dioxide was too high.,Bloodstreams carry carbon dioxide.,Carbon dioxide is a greenhouse gas.
John wanted to raise a semi-hardy perennial. He raised buttercups.,Buttercups are half hardy perennials.,Mushrooms are one of the most hardy perennials on the planet.
A lady needed twigs to make an art work. She took the scissors to cut the shrubs.,Shrubs produce twigs.,Shrubs have twigs.
John is looking in the mirror. He found his eyes blue.,Irises have pigment.,Mirrors have shades.
The house owner wanted some trees inside his house. He decided to buy some hemlocks.,Hemlocks are shade tolerant evergreen tree.,Hemlocks are one of the most abundant plants in the wild.
The house was on fire and the people needed water to put it out. People came to the bay.,Bays provide water.,Bays have water.
He was confused when he faced options. He was confused about which career path to choose.,Options include career paths.,Choices are the choices made by a person during their lifetime as well as the choices they make over time.
Tom is a petrologist. Tom studies rocks as his analysis.,Petrology is the scientific study of rocks.,Rocks are rocks with a high density of carbon dioxide.
I have difficulty checking all the machines. I turn to the technology of my colleges.,Colleges offer technology.,Computers are the backbone of the college system.
The weather is hot throughout this year. Beets dosen't grow well.,Beets grow best in cool weather.,Beets are sensitive to heat.
The doctor diagnosed the spread of virus particles in the patient. The doctor found that there were on all epithelial surfaces.,Virions seede to all the epithelial surfaces of the body.,Vaccinations are a type of viral vaccination to remove the virus particles from the epithelial surface of the body.
The content of methanol in the new house overwhelmed the body's capacity. The worker was poisoned.,Methanol becomes poisonous only when it overwhelms the body's capacity to remove it.,Methanol is toxic to the human body.
He explored the metal coating of halogen lamps. He found some dysprosium.,Dysprosium is found in the metal coating of halogen lamps.,Dysprosion is a metal coating used in the manufacture of light-emitting diodes.
Tony wanted to buy some food. He bought one hamburger in a McDonald's store.,McDonald's sells food.,Hamburgers are made of beef jerky.
He grew up and became a well-known jeweler. He created a lot of fine jewelry.,Jewelers create fine jewelry.,Jewelry is the art of making fine art jewellery from the raw materials of the natural world.
Those men are hikers. They have a strong desire to drink water.,Hikers drink water.,Hikers drink water because they want to stay hydrated.
Air pressure should be measured. Barometers are needed.,Barometers are used to measure air pressure.,Barometers are used to measure pressure in the atmosphere.
A group of thiefs were caught. They handed in the stolen things.,Thiefs have stolen things.,Looters are thieves who have stolen things from their victims.
He composted the soil. The pH of the soil gradually balances out.,Compost balances the pH of soil.,Pricing is a measure of the amount of water in the soil as it is removed from the atmosphere.
"My grasshopper did not drink the water I prepared. It is normal, what it eats have enough water.",Grasshoppers receive their water from the food they eat.,Grasshoppers eat their food by drinking the water they need to digest their food.
The machine has some functions similar to the human minds. It can identify some obvious patterns.,Minds identify obvious patterns.,Neurologists use the term 'pattern recognition' to describe the way in which the brain recognizes patterns.
Tom squeezed all the fuel with the machine. The fuel compression was done.,Compression is when all of the fuel is squeezed.,Compression is the process of adjusting the amount of pressure applied to a gas when it is being heated.
John observes the way animals breathe. He saw the diaphragm contract as the rabbit inhaled.,Inhalation occurs when the diaphragm contracts.,Diaphragms are used to release air into the lungs to fill the lungs.
I bred this tiny dog as my pet. My family called it toy.,Toys are tiny dogs bred mainly as pets.,Toys are small dogs with a very small body.
The frogfish rushed to its prey. The prey got into its mouth.,Frogfishs open mouths.,Frogs use their jaws to catch prey.
Tom stepped in narrow deep cracks in the glacier. His friend yelled tom stepped in Crevasses.,Crevasses are narrow deep cracks in the glacier.,Crevasses is a type of deep-dwelling glacier.
The list shows that you used much water last month. I cleaned my whole house in and out during last month.,Cleaning cause using water.,Livestock feed on fresh water.
This special organization is in charge of tracking. It manages occurrence of data.,Tracking is the management of occurrence data.,Occurrences are the number of occurrences of a particular type of event in a given time period.
Synthetic resin smells toxic when burned. Tom's clothes made of polyester smell poisonous when burned.,Polyester is a hard synthetic resin used to make textile fibers.,Polyester is a synthetic resin used in the manufacture of clothing.
There are many sparrows in the orchard. Many insects are eaten by them.,Finches catch insects.,Sparrows are one of the most common insect pests on the food chain.
He was bit by wasps. He felt very painful.,Wasps have painful sting.,Wasps can cause pain if they bite a human being.
My baby became a teenager. The baby bike could not bear his weight.,Teenagers are to gain weight.,Bikes have tremendous impact.
I had a budgie. I found its interest.,Budgies have interest.,Budgies have an interest in food.
Tom is an engineer. He studies different kinds of structures.,Engineers design skeletal structures.,Engineers study structures.
The clocks are moving all the time. They are like living creatures.,Clocks are close to living things.,Cogs have clock-like functions.
The gardener was hired to take care of my poinsettias. He prevented it from harm of mealybugs with great efforts.,Mealybugs are serious pests of poinsettias.,Poppins are one of the few plants known to have a hard outer coating on their skin.
Tom searched the Internet for the nature of loudness of an instrument. It turned out to be dynamics.,Dynamics is the nature of the loudness of an instrument.,Dynamics is the measurement of the amount of energy in a sound by the mass of the object.
It is important for people to know important events of the country every day. The editor has left a special page for national news.,Newspapers have separated pages.,National news is the publication of news from a particular place in the country.
Tom was infected with pneumonia. Tom's family was worried about him.,Pneumonia is the most common infectious disease of the lung leading to death.,Pneumonia is the most common cause of death in children under the age of five.
Tom has just had a wine. Tom fails the blood test.,Alcohol goes directly from the stomach into the blood stream.,Vitamins help to prevent blood clots in the blood.
They climbed up to the peak of the hill. They felt the climate much colder than that at the foot of the hill.,Elevation affects climates.,Mountains have a lot of variability.
Color in a relatively permanent skin layer like the dermis would not fade soon. Tattoos can keep its color for a long time.,Tattoos are down deeper in the dermis a relatively permanent skin layer.,Tattoos are permanent scars on the skin of the epidermis.
Kate is suffering from thermal hyperalgesia. Kate's doctor prescribed a drug containing zinc.,Zinc alleviates thermal hyperalgesia due to partial nerve injury.,Zinc helps to suppress the effects of heat loss in the body.
Some of the leaves on Tom's potted plants are getting old and dying. There are mildew spots on some leaves.,Mildew occurs most often on old foliage of declining plants.,Pests can also cause mildew in some plants.
Tom wants to draw a digital image. Tom draws graphics by drawing pixels.,Pixels are the basic building blocks of all digital images.,Pixels are the number of points in a graphic area divided by the size of the graphic area.
She is a witch. She can heal small animals.,Witches are healers.,Witches are healers.
Kur is using a microscope to observe the growth of pollen tubes from the surface of pollen grains. Kur named it germination.,Germination is the growth of a tube from the surface of a pollen grain.,Germination is the process of attaching a small amount of pollen to the base of a flower to the stem of.
Lucy has suffered form infertility. Lucy didn't deliver a live baby.,Infertility also includes the inability to carry a pregnancy to the delivery of a live baby.,Infertility is the most common cause of premature birth in women who miscarry.
There was a light rain in the polluted city. The visibility was lower.,Humidity can significantly increase the effect of pollution on visibility.,Rainfall can affect visibility.
The building is of low visibility in fog. It can only be seen to a low degree.,Visibility is the degree of being visible.,Fog is the most visible part of the sky when it is at a low level.
These adolescent boys haven't had any relationships yet. Masturbation occurs frequently.,Masturbation occurs throughout puberty previous to any relationship.,Masturbation is the most common cause of sexual dysfunction in young men.
Tom wants to collect fructose. Tom chooses kiwi to collect fructose.,Kiwi has fructose.,Kiwi eat a high-fructose corn syrup diet.
Tom wants to take photos of kinglets. Tom goes to evergreen forest to find the bird.,Kinglets live in evergreen trees.,Kingfinches are one of the most common birds in evergreen forests.
Bob told his mother that the bird was masticating happily. Mother pointed out Bob's mistake and said that birds can't masticate.,Mastication occurs in mammals only.,Masturbation is a natural part of life in the human body.
He wants to control noise. He uses slits as devices.,Slits are noise control devices.,Slits are a type of electronic control system used to control the sound produced by electronic devices such as cellphones.
Peter had a serious illness when he was a baby. His mental development is slower than that of his peers.,Infancy is also a time of brain development.,Childhood is a time when many children are at risk of developing schizophrenia.
The man invented speech resynthesis. Its is possible for text-to-speech process in different languages.,Text is spoken by synthetic speech  in different languages.,Resynthesis is the process of converting text to sound using a process called speech synthesis.
The magazine has pictures of naked girls. The magezing is classified as pornographic magazine.,Erotica is defined as nudity without any sexual acts.,Magexes are images of naked women.
Ability of chemically interacting with many other substances indicates chemical instability. Phenols has chemical instability.,Phenols chemically interact with many other substances.,Phenols are known to be a member of the class of non-homologous aromatic hydrocarbons.
The explorer wore crampons in climbing the snow mountain. The spike-soled boots helped him in climbing.,Crampons are spike-soled boots.,Crampons are a type of climbing boot with a spike-shaped base.
Mary has to settle all the problems in these three modules. She tries different principles and solves them respectively.,Modules apply principles.,Modules have principles.
His major is kinesiology. He is very knowledgeable about movement.,Kinesiology refers to the study of movement.,Kinesiology is the study of movement in the human body.
The multiplet volume increases rapidly. The occurrence of flocculation had an obvious influence.,Flocculation occurs when the multiplet volume increases rapidly.,Flocculation is a common cause of the increase in the frequency of incontinence in women.
He bought some equipment. He got some cloak devices.,Equipment includes cloak devices.,Caretakers have cloaking devices.
This kingdom is rich in wines. Their  vines and bounty are envied by other kingdoms.,Wine is the fruit of the vine the symbol of the earth's bounty.,Wines are one of the most prized aspects of a kingdom's culture.
The restaurant sells Smoothies. They orders fresh fruit from fruit stores.,Smoothies are made of fresh fruit.,Smoothies are a type of smoothie made from fresh fruit.
Tom has listed a wrong equation. The whole problem solving process was wrong.,Equations cause systematic problems.,Equations are a way of describing the process of making sense of things.
Scientists cut off the lateral roots of ragweed. Ragweed is still vigorous.,Ragweeds have taproots.,Ragweed is a native to temperate regions of the western United States.
Lake wants to work out full hard glute. Lake's fitness instructor asked him to practice lunge.,Lunges are essential to having full hard glutes.,Lunge is the movement of the glutes in relation to the upper body.
Som oil was added to the carrier oil. The carrier oil was diluted.,Oils are usually dilutes in a carrier oil.,Dilution is the process of adding a substance to a carrier oil to produce a certain amount of oil.
The Adhesives were exposed to oxygen. They hardened.,Adhesives harden as they oxidize.,Adhesives are very sensitive to the presence of oxygen in the air.
Tom lost his legs before many years when he happened to a car accident. He can't walk.,Disability is defined as a restriction of activities as a result of impairment.,Dislocation is the loss of the ability to walk.
A boy slipped on the ice. The boy followed him slipped too.,Slips cause slips.,Ice is a very dangerous substance to children.
Tom is going to buy a bicycle. He is also equipped with a helmet for safety.,Cyclists use equipment.,Cyclists wear helmets.
This tree has great viability. It has great potential to germinate.,Viability is the potential to germinate.,Germination is the process of germinating a plant from seed to full-grown adult.
Tom has some biluminescenes in the sea. He found that there were some dinoflagellates.,Dinoflagellates are the most common sources of bioluminescence in the surface waters of the ocean.,Dinoflamellates are among the most abundant of all the lanthanides.
There was a swan in the office. The official got the beautiful feather.,Officials kill swans.,Swans are very well-known birds of prey.
It had been fifteen years since the aardwolf was born. It died before long.,Aardwolves can live up to about fifteen years.,Aardwolves are nocturnal in their habit of sleeping during the day but can be active during the night.
There is something wrong with the patient's valve. The doctor found that his valve did not close when the heart contracted.,Valves close the ostia when the heart contracts.,Vasals close when a heart contractures.
Jerry is allergic to lactose. He may eat most unusual foods by mistake.,Lactose hides in the most unusual foods.,Lactose is a common cause of food allergies in children.
A pterosaur was running in the forest. No one can run more fast than it.,Pterosaurs seem to have the same speed range as modern birds.,Pterosaurs are omnivores with a long tail like a pterodactyl but they also have.
Tom was diagnosed with asexuality. His wife has no sexual desire on him.,Asexuality is defined as the lack of sexual attraction to other people.,Asexuality is the absence of sexual attraction to another person on the basis of an inability to produce a sexual.
The boys were trained with patterns. They developed fixed habits.,Patterns become habits.,Patterns develop over time in children as they learn to adapt to new environments.
The orphan Lucy was sad when she saw a happy family. The leader of the orphanage decided to find a kind person for her to adopt her.,Orphans need foster mothers.,Adoption is the process of finding a new family member who is a good match with the human being.
Lucy's trainer is both a teacher and friend. She extremely likes her trainer.,Trainers assume multiple roles.,Teachers are people who love to help people.
Tom was lying in the bed and reading a book. He fell asleep in a few minutes.,Reads end with sleeping.,Sleeping is a state of suspended suspended consciousness.
Developer Edward was asked to optimize the design. He hence did unit tests.,Developer does unit tests.,Test is the process of comparing components in a system against each other.
Jack suffers from asthma. Doctors diagnosed his son with asthma.,Heredity plays a role in asthma.,Asthma is a leading cause of death in children under the age of five.
Tom put a magnet near some coins. . The coins were attracted together by the magnet. .,A coin is often made of ferromagnetic metals.,Magnetism is the attraction of a coin to one another by a magnetic field.
Too many activities have been hold in this city. Some residents were injured during these activities.,Activities have negative effects.,Violence is a common cause of death in the city of New York City.
The environment here is suitable for the family cercopithicidae. There are many mangabeys living here.,Mangabeys belong to the family cercopithicidae.,Mangabeys are among the most abundant of the mollusks in the western temperate zone.
The acne bacteria was blocked under thick cloth. The cloth was cut for oxygen to get in.,Oxygen stops acne bacteria.,Acne is a common side effect of high-intensity direct current stimulation of the epidermal barrier.
John put on his the reading glasses to see the ground. John found a dent in the ground.,Flexure is when one optical system moves relative to the other.,Dent is a small piece of ground covered by a thin layer of mud.
"In addition to the daily food, I also put aquatic insects into merganser's nest. The next day I found that the aquatic insects had been eaten.",Mergansers also eat aquatic insects.,Merganseriners feed on aquatic insects by feeding on the aquatic invertebrates in their nest.
A salesman visited her and recommend her some laundry detergents. She was impressed with the salesman’ politeness.,Salesmans have good manners.,Laundry detergent is used in a variety of household tasks.
Some parasites lay their eggs on cloves. A few days later the eggs died.,Cloves actually kill the eggs of the parasite.,Cloves have a hard outer shell with a soft outer shell.
Tom picked up a whip. He gave it back to the jockey.,Whips are used by jockeys.,Jockeys use their heads as weapons.
I heard bird songs from green leaves. I began to look for the orioles hidden in it.,Orioles hidden by leafy green sing on every side.,Orioles are one of the few birds whose plumage is visible in the green leaves of their plumage.
The workers have prepared some silts. They plan to utilise them to build walls.,Silts have ability.,Silts are made of silvery-white metal.
Lucy majors in ecology. She studies the relations among different creatures.,Ecology is the study of the interconnectedness of living things.,Ecology is the study of the relationships among different species.
He put the cells in contact with the surface. He found that adhesion had occurred.,Adhesion occurs when the cell comes into contact with a surface.,Adhesion is the process of attaching to the surface of a cell by way of polymerization.
A robin is hungry. It flies to the ground for food.,Bluebirds feed primarily on the ground-like the robin to whom they are related.,Robins eat their prey by darting their way through the air.
They decided to travel China this summer. They first left Beijing and started from Shanghai.,Travel starts with leaves.,Travel is the process of moving from one place to another over a period of time.
He was honored as a hero because of his brave deed. He was allowed three days of extra holiday and he returned his home.,Heros return homes.,Veterans receive special treatment.
Tom has a strong ability to survival. He was the final winner of the game.,Games focus on survival skills.,Survival is the ability to survive in a situation.
Jason and I saw a mammal passing along. He told me there is a good chance that this mammal is an artiodactyl.,Artiodactyls are a widespread group of mammals.,Artiodactylytes are one of the few mammals to have been found in the wild with no evidence.
The scientists injected nitrite into child blood. The scientists found that the oxygen carrying capacity of the child's blood declined.,Nitrite interferes with the oxygen carrying capacity of the child's blood.,Nitrites can decrease the ability of the blood to carry oxygen out of the body by reducing the amount of oxygen.
We saw something plunge-diving from the air. The teacher explained it was a booby getting its food.,Boobies feed at sea by plunge-diving from the air.,Boobs are small objects floating in the air when they are about to fall.
A star crashes into the sun where nucleosynthesis occurs. The star is burned and squeezed into ashes.,Nucleosynthesis takes place in a high pressure high temperature soup.,Nucleosynthesis is the process of burning the star's outer layers to cool it down.
Lucy's mother took use of astragalus to make food for her. Lucy becomes much healthier than before.,Astragalus contains immune enhancing polysaccharide.,Astragalas help reduce the amount of cholesterol in the blood.
Mineral-rich herb is good to human body. He bought some chickweed to build his body.,Chickweed is a mineral-rich herb.,Chickweed is one of the most widely used herbaceous plants on the planet.
The scientist applied some nitrogen fertilizer to the lawn. The lawn has absorbed nitrogen fertilizer.,Lawns eat nitrogen.,Nitrogen is used as a preservative in many household products.
