Whiskers are closely connected to the nervous system. They are sensitive.,Whiskers are extremely sensitive because they are closely connected to the nervous system.,"

Mice have a sense of smell."
Tom rubbed two small pills together into one big pill. The phenomenon of accretion happened.,Accretion is the sticking together of solid particles to produce a larger particle.,"

""Pills in the body have a large amount of excretion."
Tom's heart is beating abnormally. The doctor measured his electrocardiogram.,Electrocardiograms measure the electrical impulses of the heart., His heart rate is up to 100 beats per minute.
Jane exposed her clothes to the sun. The colour has faded.,Sunlight has an effect on fabric., Her hair is grey.
Scientists have discovered a polymer of sugar. Scientists say it is oligosaccharide.,Oligosaccharides are polymers of sugars.,"

Polyglycerides are polysaccharides."
The beagles were hungry. They found many food.,Beagles find food.,"

""We ate a lot of food,"" he says."
The hard-working staff got stocks of his company. He had securities representing ownership shares of his company.,Stocks are securities representing ownership shares.,"

""He was one of the most successful investors in the industry,"" said Michael Pincus, a."
Audrey and her friends take part in group trips. At night they set up tents to sleep.,Campers participate in trips.," During the day, they stay at a campground."
Every human is a life. Everyone can be susceptible to other people or things.,Susceptibility is one of the fundamental attributes of life., Humans have different personalities.
Usually girls showed better attitude than boys in learning English. Those girl got higher ability in using English.,Attitude affects ability.,"

Teachers have to learn English."
Radishes are planted near cole crops. Many flea beetles have been attracted.,Radishes also attract flea beetles when planted near cole crops., Flea beetles are most common in cole fields.
He was a monotheist. He believes in only one god.,Monotheism is the belief in one god., He is the creator of the universe.
This patient has difficulty in breathing. He cannot inhale air normally.,Breathing  inhaling air.,"

Patients with a history of asthma have an increased risk of asthma exacerbation."
There was a virus spreading in the air of Tom's class. He suffered from the smallpox.,Smallpox is an acute infectious disease caused by a virus.,"

Tom was one of the few people who survived the spread of the disease."
Jessy was thinking whether to go for a trip. She gave up in case of drastic consequences.,Trips would have drastic consequences.,"

""I didn't want to go,"" she said."
The patient didn't believe he got Carcinoids. The doctor showed him samples of his Neuroendocrine cells of endodermal derivation.,Carcinoids arise from Neuroendocrine cells of endodermal derivation.,"

Carcinoids are the most common endocrine disruptors in the human body."
There are four seasons. They subdivide a whole year.,Seasons are a subdivision of a year.,"

Season 1: Season 2: Season 3: Season 4: Season 5: Season 6: Season 7."
Jack and his boss had a resignation problem. He brought a lawsuit against the company.,Litigation is the study of the resolution of disputes in the context of our system of courts.,"

""I didn't want to be a part of it,"" he said."
The stowaway escaped by the boat. The policeman didn't catch him.,Stowaways survive flight.,"

Stowaways are people who live in the same boat."
Tom has a fever. Doctors think Tom's fever is caused by infection.,Fever is a frequent sign of infection., Tom's symptoms include vomiting and diarrhea.
Scientists observe the difference between haploid and diploid cells. Scientists have discovered the process of mitosis in both.,Mitosis can occur in haploid cells as well as diploid ones., Mitosis is the process by which a cell divides into two different sets of cells.
Students want to cool the hot water in a rapid way. They bought a chiller in a joint venture.,Chillers are devices designed to cool the water., They use it to cool water.
We don't know what oxalate is. Our teacher tells us it is a by-product of digestion.,Oxalate is a by-product of digestion.,"

Oxalate comes from the stomach."
I took my pet to see a vet. He diagnoised my pet with fever.,Vets make definite diagnoses., I didn't have any other symptoms.
Sam only keeps hens. Sam's hens can lay eggs.,Roosters have nothing to do with egg-laying., Hens lay eggs on the ground.
It is not too hot but a little wet at this time in summer. Weevils were born.,Weevils emerge in late summer., They live in the winter.
Tom always touches his eyes with his dirty hands. He has suffered the trachoma.,Trachoma is an infection of the epithelial cells of the conjunctiva producing inclusion bodies.,"

""I don't know if he's going to be able to go back to work every day,""."
He processes flaxseeds. He gets some concentrated phytoestrogens.,Flaxseeds are a good source of concentrated phytoestrogens.,"

Dietary phytic acid is one of the most important nutrients in the body."
Tom is an ecologist. He acknowledges linear approaches.,Ecologists acknowledge linear approaches., He believes that linear approaches are the best way to solve problems.
This streetcar girder rail is dyed green. We can see the green concrete paving of this rail.,Rail is streetcar girder rail with concrete paving.,"

Rails are painted with green paint."
Coniferous trees have needles in winter. The conifers survived the winter.,Needles actually help keep coniferous trees warm during the winter.,"

Pigs have a long life span."
"Hydration comes from pure, clean water. We need to drink water to maintain proper hydration.",Water is used to keep up hydration.,"

Water is the main source of water in the human body."
The superior leader is responsible for teaching skills. The new waiter knew how to communicate with the guests.,Waiters learn skills.,"

""He knows how to have a good time."
Lisa had scorpionfish for lunch. She got stuck in her throat by the bones of the scorpionfish.,A scorpionfish is a bony fish.,"

""She's very sensitive to pain,"" she said."
The teacher asked the students to choose a mammal with the same body heat. One student chose lemmings.,Lemmings are mammals thus they always have the same body heat., The other chose mammals.
He wants a feeding service. He turned to his father.,Daddies provide services.,"

""I don't want to feed my kids,"" he said."
I want to know the name of female reproductive structures in flowers. My mom tells me it is stigma.,Stigmas are female reproductive structures in flowers., I'm not sure if it's a shame or a blessing.
My research interest is about Literature. I should concentrate on the writing of a time a place an era.,Literature is the writing of a time a place an era., I am interested in the history of literature.
John wants to have a scientific study of the complex water systems of the Earth and help solve water problems. He chooses hydrology as his major.,Hydrology is a branch of science concerned with water management.,"

Hydrology is the study of water."
Yuan Longping has made a great contribution to solving the problem of people's starving. He was considered as one of the greatest hero in the history.,Greatness is measured by the quality of one's legacy to posterity.,"

He is one of China's most well-known figures."
Tom is a jockey who is controlling his weight recently. He is able to control the riding rhythm well in horseback riding competitions.,Jockeys have diets.,"

Jockey's ability to control his weight is due to his ability to change direction."
John decided to travel in the summer vacation. He left his hometown for Venice.,Traveling causes relocation.,"

""I didn't want to leave Venice,"" he said."
He was sentenced to prison. He surprisingly found that prisoners could read in the reading room and learn about the outside world through TV.,Jails hold facilities.,"

""I have no idea what's going on,"" he said."
Tom bought some artifacts in a store. The store owner said it was made by himself.,Artifacts are material objects made by humans.,"

""I bought the artifacts because I wanted to have something,"" he said."
Tom wants to go to space. He aspired to be an astronaut.,Space shuttles carry astronauts into outer space., He wants to live in space.
"The man  planned to make Tin  by himslef. He found cassiterite, carbon and  furnace.",Tin is made by heating cassiterite with carbon in a furnace., Tin was used as a fuel.
Scientists extract substances from plasma. Scientists have extracted all kinds of substances.,Plasma contains various substances dissolved in the fluid., Plasma is the primary source of plasma.
He added a lot of Bacillus to the soil. The structure of the soil has changed.,Bacillus help improve soil structure., Bacillus is a member of the root family Bacillus.
There is several little insects on the tree. They were hunted by the spider.,Huntsmen are big spiders.,"

Spider spiders eat large insects."
Time passed year after year. The wrinkles on my mother's face are getting more and more.,Microevolution occurs over time., I have a lot of scars on my face.
There are many states in the world. They all have their own political leaders.,States have political leaders., The United States is one of them.
We added fertilizer to this field. This field benefited.,Fertilizer provides benefits.,"

Fertilizer is used to fertilize crops."
John was shocked by the existence of the extinct relatives of modern cephalopods. He got immersed in articles about Ammonites.,Ammonites are extinct relatives of modern cephalopods.,"

""Ammonites have a long history,"" he said."
Sam suffered from depression. Sam went to the psychotherapist.,Psychotherapists are specialists in treating stress-related symptoms.,"

Psychotherapy is a form of therapy."
The young student is suffering a cardiac arrest. A doctor is saving him from death by defibrillation.,Defibrillation is the key to survival from a cardiac arrest.,"

""My heart rate is going up."
Tom's car is always drawn by dendrites. Tom measured the length of the dendrites in order to measure the distance between his car and the dendrite.,Dendrites are some tens of microns in length.,"

Dendrites are used to measure distances."
Sherry is going to go Shanghai by train. Sherry is waiting for her train in the train station.,Trains leave from stations.,"

Shanghai is one of the fastest growing cities in the world."
The doctor advised Tom to eat more tropical fruits to supplement his vitamins. Tom bought a lot of mangoes and coconuts.,Mangoes are a strictly tropical fruit., Coconuts contain vitamin B12.
The worker in zoo lives with capybaras. He had to bear their great vocal sounds.,Capybaras are very vocal., Capybara have a very long life span.
Tom wants to protect his ankles when he runs. He bought a pair of shoes made of rubber.,Rubber reduces stress on vital joints in the human body.,"

""I don't want to wear shoes."
Small soft white pieces of frozen water melt in hot weather. Artificial snow is impossible in summer of Hong Kong.,Snow are small soft white pieces of frozen water., Snow melts on the winter solstice.
I noticed the stranger's spitting. I saw him swallowing movement.,Spit ends with swallows., I knew something was wrong.
People in this city are destroying the lives of mollusks. Biologist stand out to protect these significant creatures.,Mollusks are vital to sustaining many ecosystems., Molluses are a vital part of our ecosystem.
Kangaroos are marsupials. Young kangaroo is placed in the pouch on the abdomen of the female.,Marsupials carry young in a pouch on the abdomen of the female., Kangaroos have a long tail.
He wanted to have a more exciting track. He changed the type of track.,Tracks have types.,"

""I don't know if I want to change the way I play."
He buried some seeds in the flowerpot. Saguaros grew soon after.,Saguaros grow slowly from seed never from cuttings.,"

Saguars are herbivores."
There live several girls. They feed ducks every morning.,Girls feed ducks., The ducks have eggs.
Different customers have different needs. The sales team will provide different services according to the different needs of customers.,Teams adopt differentiation strategies.,"

Sales team is responsible for the customer's needs."
Tom works hard. He earns a lot of money.,Labour is all human exertion in the production of wealth., He is one of the most successful businessmen in the world.
The gardener opened the drain in the garden. The stagnant water in the garden was drained.,Gardens have good drainage.,"

Gardens have no control over the flow of water."
This girl wants to know the detailed feature of this dish. This girl look for the cookbook to help her.,Cookbooks describe features., She is looking for recipes.
The patient with addiction watched the neuroscientist's lecture. He was shocked by his chemical deficiency.,Neuroscientists now regard addiction as a chemical deficiency.," ""I didn't know what it was,"" he said."
Tom turned on his flashlight. He can just see something clearly in a short distance.,Attenuation varies with the wavelength of light.,"

""I don't know what's going on,"" he said."
Mario wants some flavonoid to paint his shirt. He catches some swallowtail butterflies.,Flavonoid pigments in swallowtail butterflies.,"

Cannabis is one of the most popular substances in the world."
Tom's shoelaces were lost. He went to the shop of footwear.,Shoelaces are also articles of footwear., He found a pair of shoes.
Tom was an alcoholic. He felt ashamed.,Alcoholism is a condition with a social stigma., He didn't want to be associated with alcohol.
Tim holds the division of humankind. Many anthropologist disagree with him.,Anthropology emphasizes the unity of humankind., Some argue that humans have evolved to adapt to life on Earth.
Tim is a philosopher. He studies the fundamental questions of everyday life.,Philosophy is the discipline devoted to the study of the fundamental questions of everyday life., He is an expert in the study of philosophy.
Tom is looking up the dictionary. He found many words subject to shellfishes.,Shellfishes have english definition.,"

""Shellfishes are small fish that live in shallow water."
It has been raining and humid recently. The pistachio is infected with the disease.,Pistachios are intolerant of high humidity during the growing season due to disease susceptibility.,"

Pistachios are one of the most common diseases caused by pistachios."
He looked at the center of the spiral of the star with Kepler telescope. He found bring bulges in the flat disk-like spiral.,Spirals are flat disks of stars with bright bulges in their centers.,"

Kepler is the largest telescope in the solar system."
The manager compared several proposals received. The manager immediately found out which uses the best techniques.,Comparison reveals techniques.,"

""I don't know if it's a good idea to use the best technique,"" he said."
This boy was exposed to contaminated rat urine. He was diagnosed with Leptospirosis.,Leptospirosis is a disease transmitted through contact with contaminated rat urine.,"

Leptospisrosis is a bacterial infection caused by bacteria in the urine of rats."
Tom was prepared to join the parade. Tom went to the street to join the parade.,Parades are outdoor activities.,"

Tom joined the parade because he wanted to be a part of it."
Bob was killed. He was punched and kicked before he died.,Kill can involve punchings.,"

The next day, a group of people gathered at the site of the attack."
Tom has sold the house. His parents moved to another house in another village.,Parents have several places.,"

""He is a very good man."
Jack tried to make his female terrapin reproroduce his child on her own. Jack is bound to fail.,Terrapins reproduce using sexual reproduction.,"

Jack tries to kill himself with a knife, but he is unable to do so."
Scientists want to find the animal with the largest eye among mammals relative to their body weight. The scientists found nothing but tarsiers.,Tarsiers have the biggest eyes of any mammal relative to their body weight.,"

""Tarsiers are the smallest animals in the animal kingdom,"" said study co-author Dr."
The water flew from the community. It can't be used any more.,Wastewater is the flow of used water from a community.,"

""I've never seen anything like this in my life."
Tom ate a Broccolis for vitamins. He took in additional nutrients.,Broccolis contain additional nutrients.,"

Broccolis is one of the most widely consumed foods in the United States."
Jenny wants to show her strength without restrictions. Jenny's mother called this behavior a crime.,Access is the ability to fulfill one's own individual potential without artificial constraints., Jenny is a very strong woman.
Acids should not be preseved with chemicals of opposite features. One should preserve acids in a bottle with alkalis.,Alkalis are the opposite of acids.,"

Alkalis are the most common alkaloids used in drinking water."
"Tom buys many toys each year. Now he has a collection of more than 1, 000 toys.",Consumption results in accumulation.,"

In the early 1980s, the toy industry was booming."
The photographer saw different species of jackals. He observed the variety in their size.,Jackals vary in size depending on the species.,"

Jackals are smaller than mammals."
We looked at a lot of photographs. We find that they emphasized characteristics.,Photography emphasizes characteristics.," For example, we found that people tend to be taller than women."
Tom always felt irregular heart beat. He was diagnosed with the palpitation.,Palpitations are a symptom described as the sensation of having an irregular heart beat.,"

""I'm very happy,"" he said."
Tom needs to know the precise audio frequency. He measured with the unit of megahertz.,Megahertz is the number of cycles per second., Microhertz is the measurement of the frequency of sound waves.
The physicist gave an electron to a single charged ion. He found that neutralization occured.,Neutralization occurs when a singly charged ion gains an electron.,"

Neutralization is the process of neutralizing electrons."
Lili will choose a branch of systematics to continue her study. She chooses taxonomy.,Taxonomy is one of the three branches of systematics.,"

Taxonomy is the study of taxonomic groups."
Many houses are equipped with heaters. The purpose of warming up has been achieved.,Heaters serve purposes., Heaters have been used to cool the house.
Students listen to different lessons every day. They have to study for diffent goals of the lessons.,Lessons focus on goals.,"

Difficulties in learning can lead to difficulties in learning."
"Lilia has a gift for singing. Although she has not received vocal training, her singing are very skilled.",Talent is the natural ability to do something well., She is able to sing in a variety of styles.
Peter put the mallard in the lake. The mallard swam to the middle of the lake.,Mallards swim in water.,"

The mallard is one of the most common types of mallards."
Tom saw the production of light through a chemical reaction. Tom believes in chemiluminescence.,Chemiluminescence refers to the production of light through a chemical reaction.,"

Chemistry is the process by which light is produced."
Mary likes eating fish very much. Her mother always buys minnows.,Minnows are the most abundant of british freshwater fishes.,"

Minnows are the most common species of fish in Japan."
The docter suggested Phytotherapy. Tom received treatment using plant products.,Phytotherapy is the treatment using plant products., Tom also received phytotherapy from other sources.
Tom is an expert studying astronomy. He have studied al extraterrestrial objects.,Astronomy comprises the study of all extraterrestrial objects.,"

He is the author of several books."
Many patients were given medication. Some of them had allergic reactions.,Medication causes allergic reaction.,"

Patients with asthma have asthma symptoms."
The phycist is responsible for detecting trapped particles around the planet. He performs his resposibility with the help of magnetometers.,Magnetometers detect trapped charged particles around the planet.,"

Phycists can detect particles in the atmosphere."
The Aquifers were mostly pollution. We cannogt get clean water from those underground reservoirs.,Aquifers are underground reservoirs., The aquifers are a source of drinking water.
Monkeys are particularly abundant in the forests of this habitat. The population of monkey is high.,Population densityis the number of individuals in some specified area of habitat.," It is estimated that the number of monkeys in the wild ranges from 1,000 to 2,000."
The electric wires fell into the water. Electricity was conducted to the water.,Wire conducts electricity., The water was heated by a heat exchanger.
There samples of radiolarian and protozoan were placed under the microscope. The radiolarian was observed to be much bigger.,Radiolarians are of large size as protozoans.,"

Radiolarians have large brains."
It has been rainy most of the year and the soil is very wet. Muskmelons are not growing well.,Muskmelons are sensitive to damping off especially under cool wet soil conditions.,"

Habitat [ edit ]

Muskmels have a wide range of habitats."
Jerry fainted with a shock. His serious condition needed immediate medical treatment.,Shock is a serious condition requiring immediate medical treatment.,"

""He was in a coma."
He met a blind man. He is very pity for this man.,Pity is a very common emotion in the sighted person towards a blind person., I don't know what he did to him.
The chemist added many reagents to the two enantiomers respectively. All reagents proved the identical chemical properties of the enantiomers except the optically active reagents.,Enantiomers have identical chemical properties except toward optically active reagents.,"

Proteins are a class of molecules."
Linda's father is a builder. Linda's house is built by her father.,Builders build homes.,"

Linda has three children."
Few people can eliminate their universal human traits in their experience. Most people seems to have the trait of ethnocentrism.,Ethnocentrism seems to be a universal trait of human experience., Ethnocentrists tend to focus on the individual as a whole.
The male elk gradually grew up. The size of its antlers has also changed.,Antlers are produced yearly by male elk but the size of the antlers changes as the elk ages., Male elk have a long neck.
He wanted to study the flowers of the lily family. He first studied tulips.,Tulips are a part of the lily family., Tulips have two flowers.
Czech asked the teacher if there were other examples of non-homologous recombination. The teacher introduced transposition to Czech.,Transposition is another example of non-homologous recombination.,"

Transposition is the process by which a group of proteins are inserted into a cell."
They weighed a carabao. The scale showed that it was 300kg.,Carabaos weigh kgs.,"

""We have to weigh the weight of the carabiner in kilograms."
The security inks should be preserved properly. They shouldn't be exposed to common eradication chemicals.,Security inks react with common eradication chemicals.,"

Diphenylsulfonylurea is one of the most widely used disinfectants in."
There was one part of the intestine folds in on itself in this patient. The doctor thought he had the intussusception.,Intussusception is when one part of the intestine folds in on itself.,"

Patients with a bowel obstruction have an increased risk of constipation."
I cooked the flesh in the kitchen. I smelt fine flavour.,Flesh has fine flavour., I also added a bit of salt to the meat.
The skippers are going to look for food. The skippers drank the nectar of various flowering plants.,Skippers dart actively around drinking nectar from a wide variety of blossoming plants.,"

Skippers have a habit of drinking nectar from flowers."
The farmer fertilized the potatoes. The farmer had a harvest on potatoes.,Fertilizer provides benefits.,"

Fertilizer is used to fertilize crops."
Tracy's hiuse is in fire. The fireworkers took use of macrozamia.,Macrozamia are fire tolerant.,Macrozamia is a type of firewood.
John is an experienced thief. He has stolen something.,Thiefs have stolen things., He is a skilled thief.
Tom doesn't know a few words. He can't express himself clearly.,Literacy is a gauge of one's language ability., He's afraid.
I used pea seeds as the bullets of my catapult. I sent out bullets of different sizes.,Peas vary widely in seed size., I fired bullets at different targets.
A serious criminal case has happened recently. The police department mobilized all its officers to investigate the case.,Cops are assigned with tasks.,"

""We have a lot of people who are involved in this kind of crime,"" said Sgt."
Bell has a strong viability. He proves the function of vitality.,Viability is a function of vitality.,"

Growth is the process by which a person grows."
He has a lot of experience in mountaineering. He gave a lot of advice to the climbers.,Suggestions base on experience.,"

""A lot of the things they do on their own are very difficult."
My grandpa attached the hard hollow segments loosely. He made me a rattle.,Rattles are made of loosely attached hard hollow segments.,"

""Rattle,"" he said."
The rats under investigation showed ischemic renal injury. They were injected with Polymerase to alleviate the symptom.,Polymerase attenuates ischemic renal injury in rats.,"

Polymerase is a polymerase inhibitor."
The child eats cereals every day. He was healthy.,Cereals provide healthy snacks., He ate a lot of vegetables.
People there have no literacy. They can not understand the words on paper or wirte any words.,Literacy consists of writing as well as reading ability., They are illiterate.
Jack said he could see some spots in his field of vision. The docter said that was just after image.,Afterimage is the perception of spots in the field of vision.,"

""I have no idea what it is,"" he said."
Tom needs money. Tom is planning to rob the bank.,Crime involves properties., He's going to rob a bank.
Tony uses his toothbrush twice a day. Tony's teeth are very healthy.,A toothbrush is a small brush for cleaning teeth., He has no problems with tooth decay.
The worker fainted for having food containing Terbium. He was diagnoised as a  moderately toxic state.,Terbium is considered to be moderately toxic.,"

Terbium is a neurotoxin in the human body."
This dish is heavily spiced. This dish has a strong aroma.,Spices provide strong aroma., It is rich in flavor.
Tom stared at the nasturtium. He found many levels overlapped like petals.,Nasturtium operates on many levels - like the overlapping petals of the flower.,"

""I can't see it."
This story belongs to a fable. Fox and rabbit in this stroy are in the place of people.,Fables are a specific type of folktale usually about animals behaving as people., Rabbit is one of the most famous animals in the world.
The bacteria on Tom's hand infected tear ducts. Tom bought medicine for sties.,Sties are bacterial infections of tear ducts., He used the medicine as a way to control the infection.
She got a cataract. The doctor found that her eye's clear lens to become cloudy blocking light.,Cataracts cause the eye's clear lens to become cloudy blocking light.,"

Clinical trials have shown that cataracts can reduce vision loss."
The number of basophils in this poor girl is outside the bounds of normality. This poor girl has suffered from leukemia.,Basophilia is an uncommon cause of leukocytosis., She has a very low chance of survival.
Many patients with fibroadenomas come for treatment in this hospital. Usually the marble-like lumps of tissue of these patients are harmless.,Fibroadenomas are usually harmless marble-like lumps of tissue., Patients with fibroblasts are usually treated with antibiotics.
"Mary and her cow are pregnant in the same month. After nine months, she and her cow will give birth to babies.",Cows have the same gestation period as human women - nine months.,"

Pregnant cows have a gestation period of at least six months."
His mother asked him to buy a green vegetable. He bought an avocado.,Avocados are a vegetable.,"

""I said, 'I don't want to eat avocado,'"" she said."
Telecommuning is widely employed by many companies due to the outbreak of epidemic. People stay at home working and communicating with colleagues.,Telecommuting refers to working in one's home instead of going to the office to work., Communicating with colleagues is one of the most effective ways to communicate with people.
The doctor monitored the human body. They found that it produced the lactase.,Lactase is produced by the body.,"

Lactase is one of the most important proteins in the body."
Mary was one of the runner this time. Mary participated in km tme trials.,Runners participate in km time trials.,"

Michele is a young woman who has been running since she was three years old."
Tom hopes to build up his physique. He drinks a lot of probiotic juice.,Probiotics also improve the body's ability to resist attacks from disease-causing germs.,"

""I drink it every day,"" he says."
Susan took some doxycycline. She became more sensitive to the stimulation of the sun after a few hours.,Doxycycline increases sensitivity to sunlight.,"

Sunlight has a calming effect on the brain."
Tom is a dancer. He expressed himself through dance.,Dance is a language of a people spoken with the body.,"

In the early 1990s, he became a member of the New York City Ballet."
Tom is trying to make a plywood. He is cutting a thin continous layer of wood off a log as it is spins around.,Plywood is made by cutting a thin continous layer of wood off a log as it is spun around., Plywood is the most common type of plywood used in the United States.
The man deals with sales. He is part of the market.,Markets include sales.,"

""Sales are a very important part of our business,"" he said."
Tom's gas cooker won't work. He started the fire with a piece of paper.,Paper is also rich in carbon.,"

""I put it on the stovetop,"" he said."
A long period passes without substantial rainfall in this area. This area is affected by the drought.,Droughts occur when a long period passes without substantial rainfall.,"

Drought is one of the leading causes of global warming."
The clothes of this brand are of good quality. The clothes of this brand sell well.,Dominance suggests quality., They have very high quality.
He said he saw a hellhound running on the street. I knew he told a lie.,A hellhound is a mythical creature.,"

""I thought it was a dog,"" he said."
Tom was eating the muskmelon. He felt the musk smell.,Muskmelons have musk smell.,"

""I didn't know what to do,"" he said."
Tom got some zooids. He uses them for tentacles research.,Zooids carry prominent ciliated tentacles.,"

Zooids have tentacles."
Tom relinquished his citizenship of his motherland. Tom became a citizen of another country.,Expatriation is the voluntary act of relinquishing one's citizenship., He was born in the United States.
"They dissected the ovaries in their anatomy class. By mistake, they dissected the kidney next to it.",Ovaries are attached to the kidneys.,"

The ovaries are part of the body's natural immune system."
These strangers invaded the farmers’ home. These strangers were vile intruders.,Intruders invade homes.,"

Racism is a serious problem in India."
We came to the boundary of the wildlife habitat. We saw Vegetation.,Vegetation surrounds wildlife habitats., Vegetation is one of the main sources of food in the ecosystem.
The adhesives producing factory forgot to add rubber silicone acrylic into the its new products. These products didn't function as they used to do.,Adhesives consist of rubber silicone acrylic.,"

Silicone is a flexible material that can be molded into various shapes."
There are a lot of donkeys in that area. This habitat has been occupied by them.,Donkeys occupy habitats., Donkeys have been living there for thousands of years.
The protagonist is growing. The plot changes with it.,Plots follow growth., He's a young man who lives in a small town.
The photographer took use of proper light. He takes a perfect photo.,Photography uses light.,"

Light is the key."
Astronauts wear spacesuits with lithium hydroxide canisters to work in space. Their exhaled carbon dioxide combines with lithium hydroxide to produce water and purify the air around them.,Spacesuits use lithium hydroxide canisters to remove carbon dioxide.,"

Lithium Hydroxide is one of the most abundant carbon compounds in the atmosphere."
The mountain goat lives in the mountainous regions. The mountain goat has strong hooves for running up the rocky slopes of the mountains.,Hooves are present in animals of the rocky habitat.,"

Mountain goats have horns."
The zookeeper raised many animals. The zookeeper fed them with milk.,Milk feeds animals.,"

Zookeepers feed on mammals."
Tom was a diabetic when he was 13. He had impotence when he was 25.,Impotence is common in persons with diabetes., He was diagnosed with diabetes at the age of 22.
My father has mild to moderate hypertension. There is Nadolol as an effective choice in all his medicine.,Nadolol is effective in treating mild to moderate hypertension.,"

Nadololol is a sedative."
Tom forgot to clean the infected area. Pycnidia grows around Tom's wound.,Pycnidia develop within the infected tissue.,"

Pycnidia is a type of fungus."
The coast were filled with visitors for tides. Only those in certain ranges could see the tides.,Coasts have limit tidal ranges.,"

Settlers made their way through the waters of the Gulf of Mexico."
Jim faces the stress of finding a job. He is too distressed to sleep at night.,Distress is stress caused by an event in one' s life.,"

""I have no idea what it is going to be like,"" he says."
We thought macromolecules were scant in cells. Our teacher pointed out our thought was wrong.,Macromolecules are abundant in cells.,"

Macromolecular thought is based on the idea that a molecule has two parts."
A stove is an enclosed space in which fuel is burned to provide heating. Its surfaces protect people from hurting.,Stoves have surfaces.,"

Carbon dioxide is a greenhouse gas."
Lightning rapidly heats and expands the surrounding air. Thunder appears in the sky at once.,Thunder is caused by the expansion of air at high speeds., Thunder is a type of lightning.
Amy didn't deal with the tantrum of her son very well. She blamed herself for failure to solve such a natural thing in child's development.,Tantrums are a natural occurrence in every child's development.,"

""I don't know if it's true or not,"" she said."
The botanist specialized in vascular plants investigated bryohytes. He found the latter has a much wider ranges of distribution.,Bryophytes generally have much wider geographic ranges than vascular plants.,"

Bryohyltes are one of the most common vascular plants in the world."
Timothy brings some sulfates into the living room. The room is cooling a little bit.,Sulfates cause a cooling of the atmosphere.,"

""Sulfates are one of the most important substances in the human body,"" he says."
Peter kept a anole in a glass cabinet. The anole climbed out along the wall of the glass cabinet and ran away.,Anoles can climb glass walls., He was not seen again until the next day.
Jack's mother peeks at Jack's diary. Jack's mother learns that Jack has an appointment.,Diaries have appointments., Jack asks if he can come to see her.
Tom found a wooden bar to fire the paper. He started to produce heat with the friction of the bar.,"Friction produces heat, an essential element of fire.","

""I didn't want to burn the paper,"" he said."
He told his mother that he wanted a beetle. His mother gave him a ladybug.,Ladybugs are a type of insect known as beetles.,"

""I don't know if it's a beetle or not,"" she said."
Mary's white blood cell count was significantly lower. The results showed she was infected with streptococcus.,Streptococcus kills white blood cells.,"

Strepococcus is the most common cause of infection in the United States."
They  went to the theater. They found it's a room surrounded by walls.,Theaters have walls., I asked if they had any money.
My mentor calculated the number of recurring periodic waves in one second. She got the frequency of the sound.,Frequency is denoted as the number of times a regularly recurring phenomenon occurs in one second., The frequency of a wave is the square root of the amplitude of the wave.
Mary felt the extrusion of a mass through her vagina. The docter diagnoised her with prolapse.,Prolapse refers to the extrusion of a mass through the vagina.,"

""Lactation is one of the most common causes of sexual dysfunction in women,"" she says."
Lucy eats barley every day. She keeps a healthy state.,Barley has healthy nutrients.,"

Balsamic vinegar is a good source of vitamin C."
Farmers want to grow sweeter oranges. Scientists pick one out of thousands of breeds.,Breeds have different genetic characteristics.,"

Sewer oranges are the most common fruit in the U."
Eating lobsters makes Luke allergic. He begins to bleed in the nose.,Nosebleeds are common in food allergy.,"

Lobsters can also cause a range of health problems."
Tom gave his patient a barbiturates injection in order to relieve his pain during the operation. The patient still suffered from serious pain.,Barbiturates have little analgesic action at subanesthetic doses.,"

""I have no idea why he was taken to the hospital,"" said Dr."
Alice gave Lucy a call. She told Lucy a lot of news.,Calls include chatter., Lucy said she was going to go to the hospital.
Tom sowed bramble seeds last year. Tom ate a lot of pots of brambles this year.,Brambles produce fruit the second year after planting.,"

""Brambles are the most common food in the United States,"" he said."
Scientists are studying a new type of material to make spacecraft. They finally made a new mental containing titanium.,Titanium is a strong lightweight metal used extensively in spacecraft.,"

The titanium is made from titanium oxide."
Jessy flattened the blanket on her bed. The colorful surface of the blanket faces up.,Blankets have surfaces.,"

""I don't know what to do,"" she says."
It has been hailing heavily outside for a few hours. People on the street didn't get wet even without an umbrella.,Hailstones are hard pellets of ice which are usually a few millimetres in diameter.,"

Sitting in the shade of a tree is a great way to stay hydrated."
These two species benefit from their interaction. They achieved Mutualism.,Mutualism occurs when both species benefit from their interaction., Mutualism is the ability of a group of people to cooperate with one another.
Waterwheels satrted work efficiently. The mills can set to work.,Waterwheels drive mills., They produce a high-quality product.
A biologist measured the amount of venom used by rattlesnakes. He found that its amount could be adjusted.,Rattlesnakes are capable of adjusting the amount of venom they use.,"

Rattlesnake venom contains a high concentration of venom."
Alice eats some health products containing antacids. The painkillers he took before have failed.,Antacids interfere with many drugs.,"

Antacids are used to treat pain."
Aardvark always looks different from other sea creatures. People can always recognize aardvark easily.,Aardvarks have characteristics., Aardvarks have long ears.
The naughty boy knew his sistar hate animals with big mouths. He caught a bass to scare her.,Bass has large mouths.,"

""I'm going to kill him,"" he said."
Jack breaks down hydrogen peroxide. Water is formed.,Peroxide is water with lots of oxygen., Hydrogen peroxide is the most common type of water in the United States.
Tom often touches the tin bar without any protection. His skin was caustised.,Tin is caustic to the skin.,"

Tin bars are used in many recipes."
